t_s,speed_kmh
101.94,135.0
102.14,138.0
102.34,134.0
102.54,128.0
102.74,120.0
103.14,105.0
103.34,102.0
103.54,99.0
103.74,95.0
103.94,94.0
104.14,92.0
104.34,89.0
104.54,87.0
104.74,85.0
104.94,83.0
105.14,81.0
105.34,80.0
105.54,78.0
105.74,77.0
105.94,79.0
106.14,83.0
106.34,87.0
106.54,91.0
106.74,93.0
106.94,93.0
107.14,93.0
107.34,93.0
107.54,92.0
107.74,90.0
107.94,89.0
108.14,89.0
108.34,90.0
108.54,92.0
108.74,96.0
108.94,100.0
109.14,105.0
109.34,110.0
110.14,133.0
110.34,139.0
110.54,145.0
111.34,169.0
111.94,186.0
112.14,190.0
112.34,196.0
112.54,200.0
112.74,205.0
112.94,209.0
113.14,213.0
113.34,217.0
113.54,221.0
113.74,225.0
113.94,228.0
114.14,232.0
114.34,235.0
114.54,239.0
114.74,242.0
114.94,245.0
115.14,248.0
115.34,251.0
115.54,254.0
115.74,256.0
115.94,260.0
116.14,262.0
116.34,260.0
116.54,254.0
116.74,248.0
116.94,240.0
117.14,235.0
117.34,229.0
117.54,223.0
117.74,219.0
117.94,214.0
118.14,207.0
118.34,203.0
118.54,198.0
118.74,194.0
118.94,189.0
119.14,184.0
119.34,180.0
119.74,173.0
120.14,170.0
120.34,169.0
120.54,170.0
120.74,170.0
120.94,170.0
121.34,172.0
121.54,174.0
121.74,176.0
121.94,178.0
122.14,180.0
122.54,184.0
122.74,188.0
122.94,193.0
123.14,193.0
123.34,185.0
123.54,177.0
123.74,168.0
123.94,158.0
124.14,149.0
124.34,140.0
124.54,133.0
125.54,108.0
125.94,106.0
126.14,106.0
126.34,106.0
126.54,106.0
126.74,108.0
126.94,109.0
127.54,118.0
127.94,126.0
128.14,129.0
128.54,132.0
128.74,134.0
128.94,137.0
129.34,145.0
129.54,148.0
129.94,158.0
130.74,168.0
131.14,156.0
131.34,148.0
131.74,134.0
131.94,126.0
132.14,118.0
132.54,108.0
132.74,106.0
132.94,103.0
133.14,102.0
133.34,99.0
133.54,96.0
133.74,94.0
133.94,92.0
134.14,91.0
134.34,91.0
134.54,90.0
134.74,92.0
134.94,94.0
135.14,98.0
135.54,104.0
135.74,109.0
135.94,114.0
136.14,118.0
136.94,136.0
138.14,173.0
138.34,177.0
138.54,177.0
138.74,176.0
138.94,173.0
139.14,169.0
139.34,165.0
139.74,158.0
140.14,156.0
141.54,158.0
141.94,166.0
142.14,170.0
142.34,173.0
142.54,177.0
142.94,185.0
143.14,190.0
143.34,185.0
143.54,179.0
144.54,158.0
145.14,150.0
145.34,148.0
145.54,145.0
145.74,143.0
146.14,140.0
146.34,140.0
146.54,140.0
146.74,140.0
146.94,142.0
147.14,144.0
147.34,146.0
147.54,148.0
147.74,149.0
148.54,160.0
148.94,165.0
149.14,168.0
149.34,170.0
149.54,172.0
149.74,174.0
149.94,177.0
150.14,180.0
150.94,196.0
151.14,199.0
151.34,196.0
151.54,190.0
151.94,172.0
152.54,150.0
152.74,144.0
152.94,138.0
153.14,135.0
153.54,128.0
154.34,118.0
154.74,109.0
154.94,104.0
155.14,99.0
155.34,96.0
155.54,92.0
155.74,88.0
155.94,86.0
156.14,81.0
156.34,77.0
156.54,74.0
