filename,time,speed
Xiaomi SU7 Ultra20260819_145735.068.jpg,06:38.72,340
Xiaomi SU7 Ultra20260819_145736.070.jpg,06:39.72,341
Xiaomi SU7 Ultra20260819_145737.071.jpg,06:40.72,344
Xiaomi SU7 Ultra20260819_145738.066.jpg,06:41.72,346
Xiaomi SU7 Ultra20260819_145739.066.jpg,06:42.72,341
Xiaomi SU7 Ultra20260819_145740.079.jpg,06:43.72,332
Xiaomi SU7 Ultra20260819_145741.068.jpg,06:44.72,323
Xiaomi SU7 Ultra20260819_145742.068.jpg,06:45.72,319
Xiaomi SU7 Ultra20260819_145743.068.jpg,06:46.72,316
Xiaomi SU7 Ultra20260819_145744.067.jpg,06:47.72,321
Xiaomi SU7 Ultra20260819_145745.067.jpg,06:48.72,306
Xiaomi SU7 Ultra20260819_145746.067.jpg,06:49.72,274
Xiaomi SU7 Ultra20260819_145747.069.jpg,06:50.72,259
Xiaomi SU7 Ultra20260819_145748.067.jpg,06:51.72,233
Xiaomi SU7 Ultra20260819_145749.069.jpg,06:52.72,223
Xiaomi SU7 Ultra20260819_145750.068.jpg,06:53.72,205
Xiaomi SU7 Ultra20260819_145751.070.jpg,06:54.72,170
Xiaomi SU7 Ultra20260819_145752.069.jpg,06:55.72,137
Xiaomi SU7 Ultra20260819_145753.069.jpg,06:56.72,111
Xiaomi SU7 Ultra20260819_145754.069.jpg,06:57.72,89
Xiaomi SU7 Ultra20260819_145755.068.jpg,06:58.72,89
Xiaomi SU7 Ultra20260819_145756.069.jpg,06:59.72,109
Xiaomi SU7 Ultra20260819_145757.069.jpg,07:00.72,107
Xiaomi SU7 Ultra20260819_145758.069.jpg,07:01.72,116
Xiaomi SU7 Ultra20260819_145759.069.jpg,07:02.72,91
Xiaomi SU7 Ultra20260819_145800.067.jpg,07:03.72,84
Xiaomi SU7 Ultra20260819_145801.071.jpg,07:04.72,93
Xiaomi SU7 Ultra20260819_145802.068.jpg,07:04.9,94
