filename,time,speed
Xiaomi SU7 Ultra20260819_145228.070.jpg,01:31.72,251
Xiaomi SU7 Ultra20260819_145229.065.jpg,01:32.72,238
Xiaomi SU7 Ultra20260819_145230.067.jpg,01:33.72,240
Xiaomi SU7 Ultra20260819_145231.071.jpg,01:34.72,236
Xiaomi SU7 Ultra20260819_145232.066.jpg,01:35.72,202
Xiaomi SU7 Ultra20260819_145233.072.jpg,01:36.72,175
Xiaomi SU7 Ultra20260819_145234.069.jpg,01:37.72,173
Xiaomi SU7 Ultra20260819_145235.067.jpg,01:38.72,163
Xiaomi SU7 Ultra20260819_145236.069.jpg,01:39.72,134
Xiaomi SU7 Ultra20260819_145237.068.jpg,01:40.72,125
Xiaomi SU7 Ultra20260819_145238.075.jpg,01:41.72,132
Xiaomi SU7 Ultra20260819_145239.068.jpg,01:42.72,120
Xiaomi SU7 Ultra20260819_145240.076.jpg,01:43.72,95
Xiaomi SU7 Ultra20260819_145241.075.jpg,01:44.72,85
Xiaomi SU7 Ultra20260819_145242.072.jpg,01:45.72,77
Xiaomi SU7 Ultra20260819_145243.073.jpg,01:46.72,93
Xiaomi SU7 Ultra20260819_145244.068.jpg,01:47.72,90
Xiaomi SU7 Ultra20260819_145245.071.jpg,01:48.72,96
Xiaomi SU7 Ultra20260819_145246.069.jpg,01:49.72,121
Xiaomi SU7 Ultra20260819_145247.068.jpg,01:50.72,152
Xiaomi SU7 Ultra20260819_145248.070.jpg,01:51.72,181
Xiaomi SU7 Ultra20260819_145249.070.jpg,01:52.72,205
Xiaomi SU7 Ultra20260819_145250.072.jpg,01:53.72,225
Xiaomi SU7 Ultra20260819_145251.073.jpg,01:54.72,242
Xiaomi SU7 Ultra20260819_145252.072.jpg,01:55.72,256
Xiaomi SU7 Ultra20260819_145253.075.jpg,01:56.72,248
Xiaomi SU7 Ultra20260819_145254.077.jpg,01:57.72,219
Xiaomi SU7 Ultra20260819_145255.077.jpg,01:58.72,194
Xiaomi SU7 Ultra20260819_145256.075.jpg,01:59.72,173
Xiaomi SU7 Ultra20260819_145257.075.jpg,02:00.72,170
Xiaomi SU7 Ultra20260819_145258.076.jpg,02:01.72,176
Xiaomi SU7 Ultra20260819_145259.079.jpg,02:02.72,188
Xiaomi SU7 Ultra20260819_145300.079.jpg,02:03.72,168
Xiaomi SU7 Ultra20260819_145301.079.jpg,02:04.72,125
Xiaomi SU7 Ultra20260819_145302.070.jpg,02:05.72,107
Xiaomi SU7 Ultra20260819_145303.071.jpg,02:06.72,108
Xiaomi SU7 Ultra20260819_145304.072.jpg,02:07.72,121
Xiaomi SU7 Ultra20260819_145305.076.jpg,02:08.72,134
Xiaomi SU7 Ultra20260819_145306.071.jpg,02:09.72,153
Xiaomi SU7 Ultra20260819_145307.071.jpg,02:10.72,168
Xiaomi SU7 Ultra20260819_145308.073.jpg,02:11.72,134
Xiaomi SU7 Ultra20260819_145309.075.jpg,02:12.72,106
Xiaomi SU7 Ultra20260819_145310.071.jpg,02:13.72,94
Xiaomi SU7 Ultra20260819_145311.068.jpg,02:14.72,92
Xiaomi SU7 Ultra20260819_145312.067.jpg,02:15.72,109
Xiaomi SU7 Ultra20260819_145313.068.jpg,02:16.72,131
Xiaomi SU7 Ultra20260819_145314.068.jpg,02:17.72,161
Xiaomi SU7 Ultra20260819_145315.069.jpg,02:18.72,176
Xiaomi SU7 Ultra20260819_145316.068.jpg,02:19.72,158
Xiaomi SU7 Ultra20260819_145317.068.jpg,02:20.72,153
Xiaomi SU7 Ultra20260819_145318.067.jpg,02:21.72,161
Xiaomi SU7 Ultra20260819_145319.069.jpg,02:22.72,181
