s_m,v_u9x,v_su7,t_u9x,t_su7,dt_s
16590,123.2,119.9,353.13,357.37,4.80
16600,121.0,121.7,353.42,357.68,4.82
16610,121.0,125.3,353.72,357.96,4.80
16620,121.0,129.2,354.02,358.24,4.78
16630,121.5,133.2,354.31,358.52,4.77
16640,126.3,137.3,354.59,358.79,4.76
16650,131.0,142.3,354.87,359.03,4.73
16660,135.7,147.2,355.14,359.28,4.70
16670,140.3,152.1,355.41,359.53,4.68
16680,144.7,156.6,355.65,359.77,4.68
16690,149.1,159.2,355.90,359.99,4.65
16700,153.5,161.9,356.14,360.21,4.63
16710,158.0,164.6,356.37,360.43,4.62
16720,162.8,167.2,356.59,360.66,4.63
16730,167.5,160.6,356.80,360.90,4.65
16740,172.3,150.4,357.02,361.14,4.68
16750,177.0,140.1,357.24,361.39,4.71
16760,171.0,129.8,357.46,361.63,4.73
16770,162.1,121.6,357.69,361.92,4.79
16780,153.3,114.8,357.91,362.23,4.88
16790,144.4,107.9,358.14,362.54,4.96
16800,135.6,103.2,358.39,362.88,5.04
16810,126.9,101.4,358.68,363.23,5.11
16820,118.2,99.7,358.97,363.58,5.17
16830,109.5,99.9,359.26,363.94,5.24
16840,105.0,101.3,359.61,364.30,5.25
16850,100.8,102.7,359.96,364.65,5.25
16860,97.1,106.2,360.31,364.99,5.24
16870,98.6,110.2,360.67,365.32,5.20
16880,100.0,114.1,361.04,365.65,5.17
16890,103.1,120.1,361.39,365.94,5.11
16900,109.3,126.7,361.71,366.23,5.07
16910,115.4,133.2,362.04,366.51,5.03
16920,121.8,139.5,362.35,366.79,4.99
16930,128.6,145.0,362.62,367.03,4.96
16940,135.4,150.6,362.90,367.27,4.93
16950,142.2,156.1,363.17,367.51,4.90
16960,147.6,161.5,363.42,367.74,4.89
16970,152.0,166.2,363.65,367.95,4.87
16980,156.4,170.8,363.88,368.16,4.84
16990,160.9,175.4,364.11,368.37,4.82
17000,165.4,180.0,364.34,368.58,4.80
17010,170.1,184.1,364.54,368.78,4.80
17020,174.8,187.3,364.75,368.97,4.78
17030,179.5,190.5,364.96,369.16,4.76
17040,184.2,193.7,365.16,369.35,4.75
17050,188.2,196.9,365.36,369.54,4.74
17060,191.2,199.9,365.54,369.72,4.74
17070,194.1,192.9,365.73,369.92,4.76
17080,197.1,186.0,365.91,370.12,4.77
17090,200.0,179.1,366.10,370.32,4.78
17100,203.0,172.2,366.28,370.51,4.79
17110,194.0,165.3,366.48,370.71,4.79
17120,185.0,160.8,366.68,370.94,4.82
17130,176.1,156.4,366.88,371.17,4.85
17140,167.1,152.0,367.08,371.40,4.89
17150,158.1,147.6,367.28,371.63,4.92
17160,153.2,145.4,367.52,371.88,4.92
17170,148.3,144.4,367.76,372.13,4.93
17180,143.5,143.4,368.01,372.38,4.93
17190,138.6,142.4,368.25,372.63,4.94
17200,138.2,143.1,368.51,372.88,4.93
17210,138.5,144.8,368.77,373.12,4.92
17220,138.7,146.6,369.03,373.37,4.90
17230,139.1,148.3,369.29,373.62,4.89
17240,142.5,150.5,369.53,373.86,4.88
17250,146.0,153.1,369.78,374.09,4.87
17260,149.5,155.6,370.03,374.32,4.86
17270,152.9,158.2,370.27,374.56,4.84
17280,156.3,159.7,370.50,374.79,4.85
17290,159.6,158.8,370.72,375.02,4.85
17300,163.0,157.9,370.95,375.24,4.86
17310,166.4,157.0,371.17,375.47,4.86
17320,166.4,156.1,371.39,375.70,4.86
17330,163.3,155.8,371.62,375.93,4.87
17340,160.1,155.6,371.84,376.16,4.88
17350,157.0,155.3,372.07,376.39,4.89
17360,154.0,155.1,372.29,376.63,4.90
17370,153.5,154.3,372.53,376.86,4.89
17380,153.0,153.1,372.76,377.10,4.90
17390,152.6,151.9,373.00,377.33,4.90
17400,152.1,150.8,373.23,377.57,4.90
17410,152.9,150.9,373.46,377.80,4.90
17420,154.1,153.4,373.70,378.03,4.90
17430,155.3,156.0,373.93,378.27,4.89
17440,156.4,158.5,374.16,378.50,4.89
17450,157.7,161.1,374.39,378.73,4.89
17460,159.0,165.4,374.62,378.94,4.88
17470,160.4,169.6,374.84,379.15,4.87
17480,161.7,173.8,375.07,379.36,4.85
17490,163.2,178.0,375.29,379.57,4.84
17500,167.0,181.9,375.50,379.77,4.83
17510,170.7,185.2,375.71,379.96,4.81
17520,174.5,188.4,375.92,380.15,4.79
17530,178.3,191.6,376.13,380.34,4.78
17540,181.9,194.8,376.33,380.53,4.76
17550,185.4,198.0,376.52,380.72,4.76
17560,188.8,200.3,376.71,380.90,4.75
17570,192.2,202.6,376.90,381.08,4.73
17580,195.6,204.9,377.09,381.25,4.72
17590,199.0,207.2,377.28,381.43,4.71
17600,202.6,209.5,377.45,381.60,4.71
17610,206.2,211.8,377.62,381.78,4.71
17620,209.8,214.3,377.80,381.94,4.71
17630,213.4,216.8,377.97,382.11,4.70
17640,217.0,219.3,378.14,382.27,4.69
17650,220.8,221.7,378.31,382.44,4.69
17660,224.9,224.2,378.46,382.60,4.70
17670,229.1,226.6,378.62,382.76,4.71
17680,233.2,228.8,378.77,382.92,4.71
17690,237.4,230.9,378.92,383.07,4.71
17700,241.6,233.1,379.08,383.23,4.71
17710,245.7,235.2,379.23,383.38,4.71
17720,249.0,237.4,379.38,383.53,4.72
17730,252.0,239.6,379.52,383.69,4.73
17740,254.9,241.3,379.66,383.84,4.74
17750,257.8,242.9,379.80,383.98,4.75
17760,260.8,244.5,379.94,384.13,4.75
17770,263.7,246.1,380.08,384.28,4.76
17780,266.7,247.7,380.22,384.42,4.77
17790,269.4,249.4,380.35,384.57,4.78
17800,272.0,251.0,380.48,384.72,4.80
17810,274.6,252.6,380.61,384.86,4.81
17820,277.2,254.3,380.74,385.00,4.82
17830,279.8,256.0,380.87,385.14,4.83
17840,282.4,257.7,381.00,385.28,4.84
17850,284.9,259.4,381.13,385.42,4.85
17860,287.5,261.1,381.26,385.56,4.86
17870,289.9,262.7,381.38,385.70,4.88
17880,292.2,264.2,381.50,385.83,4.89
17890,294.5,265.7,381.62,385.97,4.91
17900,296.8,267.2,381.74,386.10,4.92
17910,299.1,268.7,381.86,386.23,4.93
17920,301.4,270.1,381.98,386.37,4.94
17930,303.7,271.6,382.11,386.50,4.96
17940,306.0,273.1,382.23,386.64,4.97
17950,308.1,274.5,382.34,386.77,4.99
17960,310.0,275.8,382.46,386.90,5.00
17970,312.0,277.1,382.57,387.03,5.02
17980,313.9,278.4,382.69,387.16,5.03
17990,315.8,279.7,382.80,387.29,5.05
18000,317.8,280.9,382.91,387.41,5.06
18010,319.7,282.2,383.03,387.54,5.08
18020,321.7,283.5,383.14,387.67,5.09
18030,323.6,284.6,383.26,387.80,5.10
18040,325.4,285.6,383.37,387.92,5.12
18050,327.1,286.6,383.47,388.05,5.13
18060,328.8,287.6,383.58,388.17,5.15
18070,330.6,288.6,383.69,388.30,5.17
18080,332.3,289.6,383.80,388.42,5.18
18090,334.0,290.6,383.91,388.55,5.20
18100,335.8,291.6,384.02,388.67,5.22
18110,337.5,292.6,384.12,388.80,5.23
18120,339.3,293.6,384.23,388.92,5.25
18130,340.3,294.6,384.34,389.04,5.26
18140,340.8,295.5,384.44,389.16,5.28
18150,341.4,296.5,384.55,389.28,5.29
18160,341.9,297.5,384.66,389.41,5.31
18170,342.4,298.5,384.76,389.53,5.33
18180,342.9,299.4,384.87,389.65,5.34
18190,343.5,300.3,384.97,389.77,5.36
18200,344.0,301.0,385.08,389.89,5.37
18210,344.5,301.7,385.18,390.01,5.39
18220,345.0,302.4,385.29,390.13,5.40
18230,345.0,303.1,385.39,390.24,5.41
18240,345.0,303.9,385.49,390.36,5.43
18250,345.0,304.6,385.60,390.48,5.44
18260,345.0,305.3,385.70,390.60,5.46
18270,345.0,306.0,385.81,390.72,5.47
18280,345.0,306.8,385.91,390.84,5.48
18290,345.0,307.6,386.02,390.95,5.50
18300,345.0,308.4,386.12,391.07,5.51
18310,345.0,309.3,386.22,391.18,5.52
18320,345.1,310.1,386.33,391.30,5.53
18330,345.5,310.9,386.43,391.42,5.54
18340,345.8,311.7,386.54,391.53,5.56
18350,346.1,312.5,386.64,391.65,5.57
18360,346.4,313.2,386.74,391.77,5.58
18370,346.7,313.8,386.85,391.88,5.59
18380,347.0,314.4,386.95,391.99,5.60
18390,347.3,314.9,387.06,392.11,5.61
18400,347.6,315.5,387.16,392.22,5.62
18410,348.0,316.1,387.26,392.34,5.63
18420,348.0,316.6,387.37,392.45,5.64
18430,348.0,317.2,387.47,392.56,5.65
18440,348.0,317.8,387.57,392.68,5.66
18450,348.0,318.4,387.68,392.79,5.67
18460,348.0,318.9,387.78,392.90,5.68
18470,348.0,319.5,387.88,393.02,5.69
18480,348.0,320.0,387.99,393.13,5.70
18490,348.0,320.6,388.09,393.24,5.71
18500,348.0,321.2,388.20,393.35,5.72
18510,348.0,321.7,388.30,393.46,5.73
18520,348.0,322.3,388.40,393.58,5.74
18530,348.0,322.8,388.51,393.69,5.74
18540,348.0,323.4,388.61,393.80,5.75
18550,348.0,324.0,388.71,393.91,5.76
18560,348.0,324.5,388.82,394.02,5.77
18570,348.0,325.1,388.92,394.13,5.77
18580,348.0,325.6,389.02,394.24,5.78
18590,348.0,326.2,389.13,394.35,5.79
18600,348.0,326.7,389.23,394.46,5.79
18610,348.0,327.3,389.33,394.57,5.80
18620,348.0,327.8,389.44,394.69,5.81
18630,348.0,328.3,389.54,394.80,5.82
18640,348.0,328.7,389.64,394.90,5.82
18650,348.0,329.2,389.75,395.01,5.83
18660,348.0,329.6,389.85,395.12,5.83
18670,348.0,330.0,389.95,395.23,5.84
18680,348.0,330.5,390.06,395.34,5.84
18690,348.0,330.9,390.16,395.45,5.85
18700,348.0,331.4,390.26,395.56,5.85
18710,348.1,331.8,390.37,395.67,5.86
18720,348.2,332.2,390.47,395.78,5.87
18730,348.3,332.7,390.57,395.88,5.87
18740,348.4,333.1,390.68,395.99,5.87
18750,348.5,333.5,390.78,396.10,5.88
18760,348.6,333.9,390.88,396.21,5.88
18770,348.7,334.4,390.99,396.32,5.89
18780,348.8,334.8,391.09,396.42,5.89
18790,348.9,335.2,391.19,396.53,5.90
18800,349.0,335.7,391.30,396.64,5.90
18810,349.0,336.1,391.40,396.75,5.91
18820,349.0,336.3,391.50,396.85,5.91
18830,349.0,336.5,391.61,396.96,5.91
18840,349.0,336.7,391.71,397.07,5.92
18850,349.0,336.9,391.81,397.17,5.92
18860,349.0,337.1,391.92,397.28,5.92
18870,349.0,337.3,392.02,397.39,5.93
18880,349.0,337.5,392.12,397.49,5.93
18890,349.0,337.8,392.23,397.60,5.94
18900,349.0,338.0,392.33,397.71,5.94
18910,349.0,338.2,392.43,397.81,5.94
18920,349.0,338.4,392.54,397.92,5.94
18930,349.0,338.6,392.64,398.03,5.95
18940,349.0,338.8,392.74,398.13,5.95
18950,349.0,339.0,392.84,398.24,5.95
18960,349.0,339.2,392.95,398.34,5.96
18970,349.0,339.5,393.05,398.45,5.96
18980,349.0,339.7,393.15,398.56,5.96
18990,349.0,339.9,393.26,398.66,5.97
19000,348.9,340.0,393.36,398.77,5.97
19010,348.8,340.2,393.46,398.87,5.97
19020,348.7,340.3,393.57,398.98,5.97
19030,348.6,340.4,393.67,399.09,5.98
19040,348.5,340.5,393.77,399.19,5.98
19050,348.4,340.6,393.88,399.30,5.98
19060,348.3,340.7,393.98,399.40,5.98
19070,348.2,340.8,394.08,399.51,5.99
19080,348.1,340.9,394.19,399.62,5.99
19090,348.0,341.0,394.29,399.72,5.99
19100,347.9,341.3,394.39,399.83,5.99
19110,347.8,341.6,394.50,399.93,5.99
19120,347.7,341.9,394.60,400.04,6.00
19130,347.6,342.3,394.70,400.14,6.00
19140,347.5,342.6,394.81,400.25,6.00
19150,347.4,342.9,394.91,400.35,6.00
19160,347.3,343.2,395.02,400.46,6.00
19170,347.2,343.5,395.12,400.56,6.00
19180,347.1,343.8,395.22,400.67,6.00
19190,347.0,344.1,395.33,400.77,6.01
19200,347.0,344.3,395.43,400.88,6.01
19210,347.0,344.5,395.53,400.98,6.01
19220,347.0,344.7,395.64,401.08,6.01
19230,347.0,344.9,395.74,401.19,6.01
19240,347.0,345.1,395.84,401.29,6.01
19250,347.0,345.4,395.95,401.40,6.01
19260,347.0,345.6,396.05,401.50,6.01
19270,347.0,345.8,396.16,401.61,6.01
19280,347.0,346.0,396.26,401.71,6.01
19290,346.3,345.5,396.36,401.82,6.01
19300,345.5,345.0,396.47,401.92,6.01
19310,344.6,344.5,396.57,402.03,6.01
19320,343.8,344.0,396.68,402.13,6.01
19330,343.0,343.4,396.78,402.23,6.01
19340,342.1,342.9,396.89,402.34,6.01
19350,341.3,342.4,396.99,402.44,6.01
19360,340.4,341.9,397.10,402.55,6.01
19370,339.6,341.3,397.20,402.65,6.01
19380,338.4,340.6,397.31,402.76,6.01
19390,336.1,339.7,397.42,402.87,6.01
19400,333.8,338.7,397.53,402.97,6.00
19410,331.5,337.8,397.64,403.08,6.00
19420,329.2,336.8,397.75,403.19,6.00
19430,326.9,335.8,397.86,403.29,6.00
19440,324.6,334.9,397.97,403.40,5.99
19450,322.3,333.9,398.08,403.51,5.99
19460,319.9,332.9,398.19,403.62,5.99
19470,317.8,332.0,398.30,403.72,5.98
19480,316.1,331.0,398.41,403.83,5.98
19490,314.5,330.0,398.53,403.94,5.97
19500,312.9,329.0,398.64,404.05,5.97
19510,311.3,328.0,398.76,404.16,5.96
19520,309.6,327.0,398.88,404.27,5.96
19530,308.0,326.0,398.99,404.38,5.95
19540,306.4,325.1,399.11,404.49,5.94
19550,304.8,324.1,399.22,404.60,5.94
19560,304.0,323.1,399.34,404.71,5.93
19570,304.0,322.6,399.46,404.82,5.92
19580,304.0,322.1,399.58,404.94,5.92
19590,304.0,321.7,399.70,405.05,5.91
19600,304.0,321.2,399.81,405.16,5.91
19610,304.0,320.8,399.93,405.27,5.90
19620,304.0,320.3,400.05,405.38,5.89
19630,304.0,319.9,400.17,405.50,5.89
19640,304.0,319.4,400.29,405.61,5.88
19650,303.9,319.0,400.41,405.72,5.87
19660,303.8,318.7,400.53,405.83,5.87
19670,303.6,318.3,400.64,405.95,5.86
19680,303.5,318.0,400.76,406.06,5.86
19690,303.4,317.6,400.88,406.17,5.85
19700,303.3,317.3,401.00,406.29,5.85
19710,303.2,317.0,401.12,406.40,5.84
19720,303.0,316.6,401.24,406.51,5.84
19730,303.4,316.3,401.36,406.63,5.83
19740,304.0,316.1,401.47,406.74,5.83
19750,304.6,316.7,401.59,406.85,5.82
19760,305.1,317.2,401.71,406.97,5.82
19770,305.7,317.8,401.83,407.08,5.81
19780,306.3,318.4,401.94,407.19,5.81
19790,306.9,318.9,402.06,407.31,5.80
19800,307.5,319.5,402.18,407.42,5.80
19810,308.1,320.1,402.30,407.53,5.79
19820,308.4,320.6,402.41,407.65,5.79
19830,308.8,320.4,402.53,407.76,5.79
19840,309.1,318.7,402.65,407.87,5.79
19850,309.4,317.0,402.76,407.99,5.79
19860,309.8,315.2,402.88,408.10,5.78
19870,310.1,313.5,403.00,408.22,5.78
19880,310.5,311.8,403.11,408.33,5.78
19890,310.8,310.1,403.23,408.45,5.78
19900,308.8,308.4,403.35,408.56,5.78
19910,304.7,306.6,403.47,408.68,5.77
19920,300.7,303.5,403.59,408.80,5.77
19930,296.7,299.5,403.71,408.92,5.77
19940,292.6,295.5,403.84,409.05,5.77
19950,288.6,291.6,403.96,409.17,5.77
19960,284.6,287.6,404.08,409.30,5.77
19970,280.5,283.6,404.20,409.42,5.78
19980,276.7,279.7,404.33,409.54,5.77
19990,273.1,275.7,404.47,409.67,5.76
20000,269.6,272.8,404.60,409.80,5.76
20010,266.1,270.8,404.74,409.93,5.75
20020,262.5,268.8,404.87,410.07,5.75
20030,259.0,266.8,405.01,410.20,5.75
20040,255.5,264.7,405.15,410.34,5.75
20050,252.0,262.7,405.28,410.47,5.75
20060,250.5,260.7,405.43,410.61,5.74
20070,249.1,258.3,405.57,410.75,5.73
20080,247.6,254.5,405.72,410.89,5.73
20090,246.1,250.7,405.87,411.04,5.73
20100,244.7,246.9,406.01,411.18,5.73
20110,243.2,243.1,406.16,411.33,5.73
20120,241.7,239.3,406.30,411.48,5.73
20130,239.9,235.5,406.46,411.62,5.73
20140,238.1,232.5,406.61,411.77,5.73
20150,236.2,230.9,406.76,411.93,5.73
20160,234.4,229.3,406.91,412.09,5.74
20170,232.6,227.7,407.07,412.25,5.74
20180,230.7,226.1,407.22,412.41,5.75
20190,230.2,224.6,407.37,412.56,5.75
20200,230.5,223.0,407.53,412.72,5.75
20210,230.8,219.9,407.68,412.89,5.76
20220,231.1,216.9,407.84,413.06,5.78
20230,231.4,213.9,408.00,413.23,5.79
20240,231.7,210.9,408.15,413.39,5.80
20250,231.0,207.8,408.31,413.56,5.81
20260,225.5,204.6,408.48,413.73,5.81
20270,220.0,197.9,408.64,413.92,5.84
20280,214.5,191.1,408.81,414.12,5.86
20290,209.0,184.4,408.98,414.31,5.89
20300,203.4,177.7,409.15,414.50,5.91
20310,197.5,171.0,409.32,414.69,5.93
20320,189.9,163.4,409.52,414.92,5.96
20330,182.3,155.6,409.72,415.15,6.00
20340,174.7,147.9,409.92,415.39,6.03
20350,167.1,140.2,410.12,415.62,6.07
20360,159.5,132.5,410.33,415.89,6.12
20370,151.5,125.0,410.58,416.18,6.17
20380,143.6,117.4,410.82,416.47,6.21
20390,135.6,109.8,411.07,416.77,6.26
20400,127.3,101.9,411.33,417.13,6.36
20410,117.1,94.0,411.65,417.49,6.40
20420,106.9,89.0,411.97,417.87,6.46
20430,96.9,89.0,412.29,418.27,6.54
20440,92.6,89.0,412.68,418.68,6.55
20450,88.2,95.5,413.08,419.05,6.53
20460,87.6,102.8,413.47,419.41,6.50
20470,90.8,108.9,413.87,419.77,6.45
20480,94.0,108.2,414.27,420.10,6.39
20490,101.1,107.6,414.62,420.44,6.38
20500,108.4,107.4,414.96,420.77,6.36
20510,115.0,110.3,415.31,421.09,6.34
20520,115.0,113.2,415.62,421.41,6.35
20530,115.0,115.6,415.93,421.74,6.36
20540,115.0,106.9,416.25,422.08,6.40
20550,112.7,98.2,416.57,422.43,6.42
20560,110.1,90.5,416.89,422.79,6.46
20570,107.5,87.6,417.22,423.20,6.55
20580,98.6,84.7,417.59,423.61,6.58
20590,88.2,86.7,417.98,424.02,6.61
