No.,MM,SS,FF,SPEED,G,Max G,Min G
374,6,12,32,152,-0.06,,
375,6,13,32,157,0.14,,
376,6,14,32,163,0.17,,
377,6,15,32,181,0.51,,
378,6,16,32,199,0.51,,
379,6,17,32,220,0.60,,
380,6,18,32,247,0.77,,
381,6,19,32,268,0.60,,
382,6,20,32,288,0.57,,
383,6,21,32,307,0.54,,
384,6,22,32,324,0.48,,
385,6,23,32,340,0.45,,
386,6,24,32,345,0.14,,
387,6,25,32,345,0.00,,
388,6,26,32,348,0.09,,
389,6,27,32,348,0.00,,
390,6,28,32,348,0.00,,
391,6,29,32,348,0.00,,
392,6,30,32,349,0.03,,
393,6,31,32,349,0.00,,
394,6,32,32,349,0.00,,
395,6,33,32,348,-0.03,,
396,6,34,32,347,-0.03,,
397,6,35,32,347,0.00,,
398,6,36,32,339,-0.23,,
399,6,37,32,318,-0.60,,
400,6,38,32,304,-0.40,,
401,6,39,32,304,0.00,,
402,6,40,32,303,-0.03,,
403,6,41,32,308,0.14,,
404,6,42,32,311,0.09,,
405,6,43,32,278,-0.94,,
406,6,44,32,252,-0.74,,
407,6,45,32,242,-0.28,,
408,6,46,32,230,-0.34,,
409,6,47,32,232,0.06,,
410,6,48,32,199,-0.94,,
411,6,49,32,161,-1.08,,
412,6,50,32,129,-0.91,,
413,6,51,32,97,-0.91,,
414,6,52,32,86,-0.31,,
415,6,53,32,94,0.23,,
416,6,54,32,115,0.60,,
417,6,55,32,115,0.00,,
418,6,56,32,107,-0.23,,
419,6,57,32,80,-0.77,,
420,6,58,32,86,0.17,,
421,6,59,15,106,0.68,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
