t_s,speed_kmh,power_kW
349.94,205.0,-1259.3
350.14,199.0,-1019.8
350.34,195.0,-873.0
350.54,190.0,-924.3
350.74,184.0,-984.0
350.94,177.0,-825.8
351.34,169.0,-546.5
351.54,166.0,-426.4
351.94,160.0,-337.8
355.14,142.0,-838.1
355.34,135.0,-798.4
355.54,129.0,-764.2
356.14,120.0,-205.2
356.34,118.0,-135.7
356.54,116.0,-90.1
356.74,116.0,-46.5
356.94,116.0,74.9
357.34,118.0,184.2
357.54,120.0,245.7
357.74,122.0,250.1
357.94,124.0,314.5
358.34,130.0,390.3
358.54,133.0,399.9
358.74,136.0,409.6
358.94,139.0,419.4
359.14,142.0,429.2
360.14,166.0,745.4
360.34,170.0,203.6
360.54,174.0,-182.5
360.74,168.0,-809.6
360.94,160.0,-1194.5
361.14,150.0,-1207.3
361.34,142.0,-1104.9
361.54,133.0,-974.4
361.74,126.0,-912.7
361.94,118.0,-811.9
362.54,105.0,-83.1
362.74,104.0,-82.5
362.94,103.0,-101.2
363.14,102.0,-109.9
363.34,100.0,-89.2
363.54,99.0,-51.2
363.74,99.0,-14.0
363.94,99.0,13.9
364.74,103.0,256.8
364.94,106.0,244.8
365.14,108.0,249.7
365.34,110.0,223.6
365.94,118.0,462.9
366.14,123.0,541.2
366.34,126.0,602.4
366.54,132.0,669.5
366.74,138.0,766.2
366.94,143.0,768.3
369.14,190.0,771.4
369.34,194.0,680.1
369.54,198.0,472.9
369.74,200.0,-9.9
369.94,198.0,-643.2
370.14,192.0,-1149.5
370.34,183.0,-1340.1
370.54,174.0,-1340.7
370.94,158.0,-874.9
371.14,153.0,-440.0
371.34,150.0,-375.9
371.54,148.0,-246.3
371.74,146.0,-202.3
371.94,145.0,-174.0
372.14,143.0,-158.6
372.34,142.0,-62.5
372.74,142.0,120.4
372.94,143.0,217.5
373.14,145.0,221.1
373.34,146.0,230.7
373.74,149.0,222.2
374.74,160.0,38.0
378.94,165.0,660.9
379.14,169.0,678.3
379.34,173.0,695.8
379.54,177.0,713.4
379.94,185.0,699.3
380.14,188.0,648.9
380.54,195.0,621.3
380.74,198.0,491.5
380.94,200.0,516.2
381.14,202.0,579.3
381.34,205.0,647.2
381.54,209.0,667.6
381.94,214.0,646.2
382.14,218.0,736.6
382.34,220.0,703.2
382.54,224.0,676.4
382.74,226.0,704.9
382.94,229.0,651.7
383.14,232.0,684.0
383.34,234.0,691.2
383.54,237.0,724.4
383.74,240.0,690.6
383.94,243.0,655.8
384.14,244.0,659.2
384.34,247.0,669.5
384.54,250.0,760.5
384.94,255.0,594.9
385.14,256.0,604.9
385.34,258.0,635.5
385.54,261.0,694.4
385.74,263.0,627.3
385.94,265.0,459.6
386.14,266.0,512.1
386.34,266.0,687.1
386.54,270.0,853.2
386.74,274.0,921.0
386.94,276.0,774.0
387.14,278.0,624.8
387.34,280.0,657.5
387.54,281.0,634.4
387.74,284.0,644.2
387.94,285.0,674.2
388.14,287.0,654.0
388.34,289.0,660.6
388.54,291.0,640.0
388.74,292.0,588.3
388.94,294.0,594.5
389.14,295.0,597.6
389.34,297.0,603.8
389.54,298.0,606.9
389.74,300.0,613.2
389.94,301.0,616.4
390.14,303.0,565.8
390.34,304.0,540.3
390.54,305.0,485.9
390.74,306.0,488.6
390.94,307.0,549.1
391.14,308.0,581.0
391.34,310.0,657.8
391.74,313.0,558.6
391.94,313.0,537.6
392.14,315.0,543.4
392.34,316.0,576.1
392.54,317.0,519.6
392.74,318.0,522.5
392.94,319.0,525.4
393.14,320.0,528.3
393.34,321.0,531.2
393.54,322.0,534.1
393.74,323.0,537.1
393.94,324.0,540.0
394.14,325.0,543.0
394.34,326.0,546.0
394.54,327.0,549.0
394.74,328.0,552.0
394.94,329.0,555.0
395.14,330.0,558.0
395.34,331.0,498.9
395.54,332.0,470.6
395.74,332.0,470.6
395.94,333.0,442.1
396.14,334.0,476.1
396.34,334.0,476.1
396.54,335.0,447.5
396.74,336.0,481.8
396.94,336.0,418.6
397.14,337.0,421.3
397.34,337.0,421.3
397.54,338.0,423.9
397.74,338.0,423.9
397.94,339.0,362.9
398.14,339.0,394.8
398.34,339.0,362.9
398.54,340.0,365.4
398.74,340.0,397.3
398.94,340.0,365.4
399.14,341.0,367.9
399.34,341.0,335.9
399.54,341.0,335.9
399.74,341.0,367.9
399.94,342.0,370.4
400.14,342.0,402.6
400.34,342.0,434.7
400.54,343.0,469.6
400.74,344.0,440.1
400.94,344.0,407.8
401.14,344.0,375.5
401.34,345.0,442.9
401.54,345.0,442.9
401.74,346.0,380.6
401.94,346.0,283.1
402.14,346.0,55.6
402.34,345.0,-140.5
402.54,343.0,-303.7
402.74,341.0,-368.9
402.94,339.0,-369.6
403.14,337.0,-306.9
403.34,335.0,-276.4
403.54,334.0,-276.9
403.74,332.0,-309.2
403.94,330.0,-310.0
404.14,328.0,-341.6
404.34,327.0,-311.2
404.54,324.0,-312.2
404.74,323.0,-342.9
404.94,321.0,-252.8
405.14,319.0,-223.8
405.34,318.0,44.5
405.54,317.0,72.9
405.74,319.0,15.9
405.94,316.0,-77.0
406.14,315.0,-78.0
406.34,314.0,216.0
406.54,315.0,395.5
406.74,316.0,457.3
406.94,317.0,430.3
407.14,317.0,489.8
407.34,318.0,552.3
407.54,320.0,618.5
407.74,321.0,591.5
407.94,322.0,292.1
408.14,323.0,-251.9
408.34,320.0,-1004.9
408.54,314.0,-1553.9
408.74,306.0,-1753.6
408.94,300.0,-1697.8
409.14,293.0,-1500.5
409.34,287.0,-1529.9
409.54,282.0,-1561.1
409.74,274.0,-1369.9
409.94,267.0,-1040.2
410.14,265.0,-610.9
410.34,263.0,-361.0
410.54,261.0,-507.0
410.74,259.0,-723.8
410.94,254.0,-976.3
411.14,249.0,-1171.5
411.34,243.0,-1124.8
411.54,237.0,-967.7
411.74,233.0,-713.3
411.94,230.0,-490.0
412.14,228.0,-379.9
412.34,226.0,-292.9
412.54,224.0,-228.5
412.74,223.0,-39.5
412.94,222.0,-102.5
413.14,224.0,-396.8
413.34,219.0,-843.6
413.54,213.0,-1184.0
413.74,205.0,-1394.2
414.14,189.0,-1242.0
414.34,182.0,-1025.5
414.54,176.0,-994.0
414.74,170.0,-914.4
415.34,149.0,-807.6
415.54,144.0,-754.7
415.74,137.0,-719.7
415.94,132.0,-644.9
416.34,122.0,-584.9
416.54,116.0,-635.0
416.94,104.0,-512.4
417.14,98.0,-345.4
417.34,95.0,-308.4
417.54,92.0,-247.2
417.74,89.0,-205.9
417.94,86.0,-134.7
418.14,85.0,-29.4
418.34,85.0,74.4
418.54,87.0,158.1
418.74,89.0,237.2
418.94,92.0,271.4
419.14,96.0,402.2
419.54,106.0,337.3
419.74,109.0,119.1
419.94,108.0,-3.9
420.34,106.0,-83.8
420.54,105.0,93.0
420.94,108.0,154.1
421.14,109.0,301.9
421.54,116.0,40.7
421.74,116.0,-460.6
421.94,108.0,-450.3
422.14,104.0,-483.1
422.34,99.0,-386.0
422.54,95.0,-362.0
422.74,91.0,-330.1
422.94,87.0,-250.5
423.14,83.0,-161.4
423.34,83.0,-44.4
423.54,82.0,63.9
423.74,84.0,136.6
423.94,86.0,180.4
424.14,89.0,178.7
424.34,90.0,155.4
424.54,92.0,159.1
424.74,93.0,187.1
424.94,96.0,148.4
425.14,98.0,59.6
425.34,97.0,-50.4
425.54,95.0,-121.0
425.74,94.0,-137.5
425.94,92.0,-160.7
426.14,90.0,-199.7
426.34,87.0,-201.5
426.54,84.0,-202.7
426.74,82.0,-167.2
426.94,79.0,-146.5
427.14,78.0,-137.4
