frame,t_lap,ocr
149,29.8,GPSSpeedkm/h 122
150,30.0,GPSSpeedkm/h 122
151,30.2,GPSSpeedkm/h 121
152,30.4,GPSSpeedkm/h 122
153,30.6,GPSSpeedkm/h 121
154,30.8,GPSSpeedkm/h 122
155,31.0,GPSSpeedkm/h 124
156,31.2,GPSSpeedkm/h 127
157,31.4,GPSSpeedkm/h 133
158,31.6,GPSSpeedkm/h 138
159,31.8,GPSSpeedkm/h 146
160,32.0,GPSSpeedkm/h 151
161,32.2,GPSSpeedkm/h 158
162,32.4,GPSSpeedkm/h 163
163,32.6,GPSSpeedkm/h 171
164,32.8,GPSSpeedkm/h 176
165,33.0,GPSSpeedkm/h 171
166,33.2,GPSSpeedkm/h 163
167,33.4,GPSSpeedkm/h 152
168,33.6,GPSSpeedkm/h 144
169,33.8,GPSSpeedkm/h 135
170,34.0,GPSSpeedkm/h 124
171,34.2,GPSSpeedkm/h 118
172,34.4,GPSSpeedkm/h 113
173,34.6,GPSSpeedkm/h 110
174,34.8,GPSSpeedkm/h 106
175,35.0,GPSSpeedkm/h 105
176,35.2,GPSSpeedkm/h 105
177,35.4,GPSSpeedkm/h 104
178,35.6,GPSSpeedkm/h 104
179,35.8,GPSSpeedkm/h 104
180,36.0,GPSSpeedkm/h 106
181,36.2,GPSSpeedkm/h 109
182,36.4,GPSSpeedkm/h 112
183,36.6,GPSSpeedkm/h 117
184,36.8,GPSSpeedkm/h 123
185,37.0,GPSSpeedkm/h 129
186,37.2,GPSSpeedkm/h 137
187,37.4,GPSSpeedkm/h 141
188,37.6,GPSSpeedkm/h 145
189,37.8,GPSSpeedkm/h 151
190,38.0,GPSSpeedkm/h 156
191,38.2,GPSSpeedkm/h 163
192,38.4,GPSSpeedkm/h 168
193,38.6,GPSSpeedkm/h 173
194,38.8,GPSSpeedkm/h 178
195,39.0,GPSSpeedkm/h 184
196,39.2,GPSSpeedkm/h 189
197,39.4,GPSSpeedkm/h 194
198,39.6,GPSSpeedkm/h 200
199,39.8,GPSSpeedkm/h 205
200,40.0,GPSSpeedkm/h 209
201,40.2,GPSSpeedkm/h 214
202,40.4,GPSSpeedkm/h 219
203,40.6,GPSSpeedkm/h 223
204,40.8,GPSSpeedkm/h 227
205,41.0,GPSSpeedkm/h 231
206,41.2,GPSSpeedkm/h 233
207,41.4,GPSSpeedkm/h 237
208,41.6,GPSSpeedkm/h 240
209,41.8,GPSSpeedkm/h 242
210,42.0,GPSSpeedkm/h 246
211,42.2,GPSSpeedkm/h 248
212,42.4,GPSSpeedkm/h 251
213,42.6,GPSSpeedkm/h 254
214,42.8,GPSSpeedkm/h 256
215,43.0,GPSSpeedkm/h 260
216,43.2,GPSSpeedkm/h 262
217,43.4,GPSSpeedkm/h 266
218,43.6,GPSSpeedkm/h 268
219,43.8,GPSSpeedkm/h 272
