frame,t_lap,ocr
685,137.0,GPSSpeedkm/h 207
686,137.2,GPSSpeedkm/h 195
687,137.4,GPSSpeedkm/h 185
688,137.6,GPSSpeedkm/h 174
689,137.8,GPSSpeedkm/h 166
690,138.0,GPSSpeedkm/h 157
691,138.2,GPSSpeedkm/h 151
692,138.4,GPSSpeedkm/h 146
693,138.6,GPSSpeedkm/h 143
694,138.8,GPSSpeedkm/h 141
695,139.0,GPSSpeedkm/h 139
696,139.2,GPSSpeedkm/h 132
697,139.4,GPSSpeedkm/h 124
698,139.6,GPSSpeedkm/h 116
699,139.8,GPSSpeedkm/h 110
700,140.0,GPSSpeedkm/h 102
701,140.2,GPSSpeedkm/h 096
702,140.4,GPSSpeedkm/h 092
703,140.6,GPSSpeedkm/h 089
704,140.8,GPSSpeedkm/h 086
705,141.0,GPSSpeedkm/h 079
706,141.2,GPSSpeedkm/h 076
707,141.4,GPSSpeedkm/h 075
708,141.6,GPSSpeedkm/h 075
709,141.8,GPSSpeedkm/h 076
710,142.0,GPSSpeedkm/h 076
711,142.2,GPSSpeedkm/h 077
712,142.4,GPSSpeedkm/h 079
713,142.6,GPSSpeedkm/h 081
714,142.8,GPSSpeedkm/h 085
715,143.0,GPSSpeedkm/h 090
716,143.2,GPSSpeedkm/h 760
717,143.4,GPSSpeedkm/h 102
718,143.6,GPSSpeedkm/h 108
719,143.8,GPSSpeedkm/h 113
720,144.0,GPSSpeedkm/h 116
721,144.2,GPSSpeedkm/h 122
722,144.4,GPSSpeedkm/h 129
723,144.6,GPSSpeedkm/h 136
724,144.8,GPSSpeedkm/h 141
725,145.0,GPSSpeedkm/h 146
726,145.2,GPSSpeedkm/h 152
727,145.4,GPSSpeedkm/h 158
728,145.6,GPSSpeedkm/h 164
729,145.8,GPSSpeedkm/h 168
730,146.0,GPSSpeedkm/h 175
731,146.2,GPSSpeedkm/h 178
732,146.4,GPSSpeedkm/h 183
733,146.6,GPSSpeedkm/h 188
734,146.8,GPSSpeedkm/h 192
735,147.0,GPSSpeedkm/h 199
736,147.2,GPSSpeedkm/h 205
737,147.4,GPSSpeedkm/h 210
738,147.6,GPSSpeedkm/h 215
739,147.8,GPSSpeedkm/h 218
740,148.0,GPSSpeedkm/h 223
741,148.2,GPSSpeedkm/h 227
742,148.4,GPSSpeedkm/h 230
743,148.6,GPSSpeedkm/h 232
744,148.8,GPSSpeedkm/h 235
745,149.0,GPSSpeedkm/h 238
746,149.2,GPSSpeedkm/h 242
747,149.4,GPSSpeedkm/h 242
748,149.6,GPSSpeedkm/h 235
749,149.8,GPSSpeedkm/h 229
750,150.0,GPSSpeedkm/h 217
751,150.2,GPSSpeedkm/h 203
752,150.4,GPSSpeedkm/h 191
753,150.6,GPSSpeedkm/h 178
754,150.8,GPSSpeedkm/h 170
755,151.0,GPSSpeedkm/h 157
756,151.2,GPSSpeedkm/h 147
757,151.4,GPSSpeedkm/h 139
758,151.6,GPSSpeedkm/h 130
759,151.8,GPSSpeedkm/h 127
760,152.0,GPSSpeedkm/h 123
761,152.2,GPSSpeedkm/h 121
762,152.4,GPSSpeedkm/h 120
763,152.6,GPSSpeedkm/h 120
764,152.8,GPSSpeedkm/h 120
765,153.0,GPSSpeedkm/h 120
766,153.2,GPSSpeedkm/h 122
767,153.4,GPSSpeedkm/h 127
768,153.6,GPSSpeedkm/h 130
769,153.8,GPSSpeedkm/h 133
770,154.0,GPSSpeedkm/h 136
771,154.2,GPSSpeedkm/h 139
772,154.4,GPSSpeedkm/h 142
773,154.6,GPSSpeedkm/h 145
774,154.8,GPSSpeedkm/h 149
775,155.0,GPSSpeedkm/h 154
776,155.2,GPSSpeedkm/h 158
777,155.4,GPSSpeedkm/h 164
778,155.6,GPSSpeedkm/h 168
779,155.8,GPSSpeedkm/h 171
780,156.0,GPSSpeedkm/h 169
781,156.2,GPSSpeedkm/h 165
782,156.4,GPSSpeedkm/h 155
783,156.6,GPSSpeedkm/h 142
784,156.8,GPSSpeedkm/h 136
785,157.0,GPSSpeedkm/h 127
786,157.2,GPSSpeedkm/h 123
787,157.4,GPSSpeedkm/h 120
788,157.6,GPSSpeedkm/h 118
789,157.8,GPSSpeedkm/h 118
790,158.0,GPSSpeedkm/h 117
791,158.2,GPSSpeedkm/h 117
792,158.4,GPSSpeedkm/h 117
793,158.6,GPSSpeedkm/h 119
794,158.8,GPSSpeedkm/h 122
795,159.0,GPSSpeedkm/h 128
796,159.2,GPSSpeedkm/h 133
797,159.4,GPSSpeedkm/h 138
798,159.6,GPSSpeedkm/h 144
799,159.8,GPSSpeedkm/h 149
800,160.0,GPSSpeedkm/h 157
801,160.2,GPSSpeedkm/h 162
802,160.4,GPSSpeedkm/h 168
803,160.6,GPSSpeedkm/h 173
804,160.8,GPSSpeedkm/h 178
805,161.0,GPSSpeedkm/h 183
806,161.2,GPSSpeedkm/h 188
807,161.4,GPSSpeedkm/h 193
808,161.6,GPSSpeedkm/h 198
809,161.8,GPSSpeedkm/h 202
810,162.0,GPSSpeedkm/h 207
811,162.2,GPSSpeedkm/h 211
812,162.4,GPSSpeedkm/h 215
813,162.6,GPSSpeedkm/h 220 
814,162.8,GPSSpeedkm/h 222 
815,163.0,GPSSpeedkm/h 227
816,163.2,GPSSpeedkm/h 232
817,163.4,GPSSpeedkm/h 236
818,163.6,GPSSpeedkm/h 239
819,163.8,GPSSpeedkm/h 241
820,164.0,GPSSpeedkm/h 244
821,164.2,GPSSpeedkm/h 246
822,164.4,GPSSpeedkm/h 250
823,164.6,GPSSpeedkm/h 252
824,164.8,GPSSpeedkm/h 254
825,165.0,GPSSpeedkm/h 257
826,165.2,GPSSpeedkm/h 259
827,165.4,GPSSpeedkm/h 261
828,165.6,GPSSpeedkm/h 264
829,165.8,GPSSpeedkm/h 266
830,166.0,GPSSpeedkm/h 267
831,166.2,GPSSpeedkm/h 268
832,166.4,GPSSpeedkm/h 269
833,166.6,GPSSpeedkm/h 269
834,166.8,GPSSpeedkm/h 269
835,167.0,GPSSpeedkm/h 268
836,167.2,GPSSpeedkm/h 267
837,167.4,GPSSpeedkm/h 267
838,167.6,GPSSpeedkm/h 265
839,167.8,GPSSpeedkm/h 263
840,168.0,GPSSpeedkm/h 257
841,168.2,GPSSpeedkm/h 253
842,168.4,GPSSpeedkm/h 246
843,168.6,GPSSpeedkm/h 235
844,168.8,GPSSpeedkm/h 227
845,169.0,GPSSpeedkm/h 216
846,169.2,GPSSpeedkm/h 205
847,169.4,GPSSpeedkm/h 194
848,169.6,GPSSpeedkm/h 185
849,169.8,GPSSpeedkm/h 178
850,170.0,GPSSpeedkm/h 166
851,170.2,GPSSpeedkm/h 156
852,170.4,GPSSpeedkm/h 147
853,170.6,GPSSpeedkm/h 140
854,170.8,GPSSpeedkm/h 135
855,171.0,GPSSpeedkm/h 129
856,171.2,GPSSpeedkm/h 123
857,171.4,GPSSpeedkm/h 118
858,171.6,GPSSpeedkm/h 114
859,171.8,GPSSpeedkm/h 111
860,172.0,GPSSpeedkm/h 111
861,172.2,GPSSpeedkm/h 110
862,172.4,GPSSpeedkm/h 110
863,172.6,GPSSpeedkm/h 110
864,172.8,GPSSpeedkm/h 111
865,173.0,GPSSpeedkm/h 114
866,173.2,GPSSpeedkm/h 115
867,173.4,GPSSpeedkm/h 116
868,173.6,GPSSpeedkm/h 119
869,173.8,GPSSpeedkm/h 121
870,174.0,GPSSpeedkm/h 124
871,174.2,GPSSpeedkm/h 128
872,174.4,GPSSpeedkm/h 136
873,174.6,GPSSpeedkm/h 140
874,174.8,GPSSpeedkm/h 143
875,175.0,GPSSpeedkm/h 147
876,175.2,GPSSpeedkm/h 151
877,175.4,GPSSpeedkm/h 156
878,175.6,GPSSpeedkm/h 164
879,175.8,GPSSpeedkm/h 168
880,176.0,GPSSpeedkm/h 175
881,176.2,GPSSpeedkm/h 179
882,176.4,GPSSpeedkm/h 180
883,176.6,GPSSpeedkm/h 186
884,176.8,GPSSpeedkm/h 190
885,177.0,GPSSpeedkm/h 194
886,177.2,GPSSpeedkm/h 199
887,177.4,GPSSpeedkm/h 202
888,177.6,GPSSpeedkm/h 207
889,177.8,GPSSpeedkm/h 211
890,178.0,GPSSpeedkm/h 215
891,178.2,GPSSpeedkm/h 218
892,178.4,GPSSpeedkm/h 222 
893,178.6,GPSSpeedkm/h 226 
894,178.8,GPSSpeedkm/h 229
895,179.0,GPSSpeedkm/h 232
896,179.2,GPSSpeedkm/h 235
897,179.4,GPSSpeedkm/h 237
898,179.6,GPSSpeedkm/h 239
899,179.8,GPSSpeedkm/h 241
900,180.0,GPSSpeedkm/h 244
901,180.2,GPSSpeedkm/h 246
902,180.4,GPSSpeedkm/h 247
903,180.6,GPSSpeedkm/h 248
904,180.8,GPSSpeedkm/h 250
905,181.0,GPSSpeedkm/h 252
906,181.2,GPSSpeedkm/h 254
907,181.4,GPSSpeedkm/h 257
908,181.6,GPSSpeedkm/h 259
909,181.8,GPSSpeedkm/h 261
910,182.0,GPSSpeedkm/h 264
911,182.2,GPSSpeedkm/h 265
912,182.4,GPSSpeedkm/h 267
913,182.6,GPSSpeedkm/h 267
914,182.8,GPSSpeedkm/h 267
915,183.0,GPSSpeedkm/h 267
916,183.2,GPSSpeedkm/h 268
917,183.4,GPSSpeedkm/h 268
918,183.6,GPSSpeedkm/h 269
919,183.8,GPSSpeedkm/h 270
920,184.0,GPSSpeedkm/h 272
921,184.2,GPSSpeedkm/h 273
922,184.4,GPSSpeedkm/h 274
923,184.6,GPSSpeedkm/h 275
924,184.8,GPSSpeedkm/h 276
925,185.0,GPSSpeedkm/h 277
926,185.2,GPSSpeedkm/h 277
927,185.4,GPSSpeedkm/h 278
928,185.6,GPSSpeedkm/h 279
929,185.8,GPSSpeedkm/h 281
930,186.0,GPSSpeedkm/h 284
931,186.2,GPSSpeedkm/h 285
932,186.4,GPSSpeedkm/h 288
933,186.6,GPSSpeedkm/h 289
934,186.8,GPSSpeedkm/h 290
935,187.0,GPSSpeedkm/h 290
936,187.2,GPSSpeedkm/h 290
937,187.4,GPSSpeedkm/h 292
938,187.6,GPSSpeedkm/h 293
939,187.8,GPSSpeedkm/h 293
940,188.0,GPSSpeedkm/h 292 
941,188.2,GPSSpeedkm/h 289
942,188.4,GPSSpeedkm/h 293
943,188.6,GPSSpeedkm/h 292 
944,188.8,GPSSpeedkm/h 290
945,189.0,GPSSpeedkm/h 291
946,189.2,GPSSpeedkm/h 291
947,189.4,GPSSpeedkm/h 292
948,189.6,GPSSpeedkm/h 293
949,189.8,GPSSpeedkm/h 293
950,190.0,GPSSpeedkm/h 294
951,190.2,GPSSpeedkm/h 295
952,190.4,GPSSpeedkm/h 296
953,190.6,GPSSpeedkm/h 297
954,190.8,GPSSpeedkm/h 298
955,191.0,GPSSpeedkm/h 298
956,191.2,GPSSpeedkm/h 299
957,191.4,GPSSpeedkm/h 300
958,191.6,GPSSpeedkm/h 301
959,191.8,GPSSpeedkm/h 303
960,192.0,GPSSpeedkm/h 303
961,192.2,GPSSpeedkm/h 303
962,192.4,GPSSpeedkm/h 304
963,192.6,GPSSpeedkm/h 304
964,192.8,GPSSpeedkm/h 304
965,193.0,GPSSpeedkm/h 304
966,193.2,GPSSpeedkm/h 304
967,193.4,GPSSpeedkm/h 307
968,193.6,GPSSpeedkm/h 309
969,193.8,GPSSpeedkm/h 310
970,194.0,GPSSpeedkm/h 310
971,194.2,GPSSpeedkm/h 311
972,194.4,GPSSpeedkm/h 311
973,194.6,GPSSpeedkm/h 310
974,194.8,GPSSpeedkm/h 308
975,195.0,GPSSpeedkm/h 307
976,195.2,GPSSpeedkm/h 306
977,195.4,GPSSpeedkm/h 304
978,195.6,GPSSpeedkm/h 303
979,195.8,GPSSpeedkm/h 302
980,196.0,GPSSpeedkm/h 304
981,196.2,GPSSpeedkm/h 304
982,196.4,GPSSpeedkm/h 306
983,196.6,GPSSpeedkm/h 304
984,196.8,GPSSpeedkm/h 299
985,197.0,GPSSpeedkm/h 287
986,197.2,GPSSpeedkm/h 277
987,197.4,GPSSpeedkm/h 271
988,197.6,GPSSpeedkm/h 263
989,197.8,GPSSpeedkm/h 254
990,198.0,GPSSpeedkm/h 246
991,198.2,GPSSpeedkm/h 239
992,198.4,GPSSpeedkm/h 227
993,198.6,GPSSpeedkm/h 220
994,198.8,GPSSpeedkm/h 215
995,199.0,GPSSpeedkm/h 210
996,199.2,GPSSpeedkm/h 208
997,199.4,GPSSpeedkm/h 208
998,199.6,GPSSpeedkm/h 207
999,199.8,GPSSpeedkm/h 205
1000,200.0,GPSSpeedkm/h 203
1001,200.2,GPSSpeedkm/h 204 
1002,200.4,GPSSpeedkm/h 206 
1003,200.6,GPSSpeedkm/h 209
1004,200.8,GPSSpeedkm/h 211
1005,201.0,GPSSpeedkm/h 213
1006,201.2,GPSSpeedkm/h 215
1007,201.4,GPSSpeedkm/h 218
1008,201.6,GPSSpeedkm/h 219
1009,201.8,GPSSpeedkm/h 222 
1010,202.0,GPSSpeedkm/h 225
1011,202.2,GPSSpeedkm/h 228
1012,202.4,GPSSpeedkm/h 230
1013,202.6,GPSSpeedkm/h 233
1014,202.8,GPSSpeedkm/h 235
1015,203.0,GPSSpeedkm/h 238
1016,203.2,GPSSpeedkm/h 240
1017,203.4,GPSSpeedkm/h 242 
1018,203.6,GPSSpeedkm/h 246
1019,203.8,GPSSpeedkm/h 247
1020,204.0,GPSSpeedkm/h 248
1021,204.2,GPSSpeedkm/h 249
1022,204.4,GPSSpeedkm/h 252
1023,204.6,GPSSpeedkm/h 253
1024,204.8,GPSSpeedkm/h 250
1025,205.0,GPSSpeedkm/h 243
1026,205.2,GPSSpeedkm/h 237
1027,205.4,GPSSpeedkm/h 231
1028,205.6,GPSSpeedkm/h 223
1029,205.8,GPSSpeedkm/h 218
1030,206.0,GPSSpeedkm/h 214
1031,206.2,GPSSpeedkm/h 212
1032,206.4,GPSSpeedkm/h 211
1033,206.6,GPSSpeedkm/h 211
1034,206.8,GPSSpeedkm/h 212
1035,207.0,GPSSpeedkm/h 214
1036,207.2,GPSSpeedkm/h 214
1037,207.4,GPSSpeedkm/h 215
1038,207.6,GPSSpeedkm/h 217
1039,207.8,GPSSpeedkm/h 220 
1040,208.0,GPSSpeedkm/h 222 
1041,208.2,GPSSpeedkm/h 224
1042,208.4,GPSSpeedkm/h 227
1043,208.6,GPSSpeedkm/h 231
1044,208.8,GPSSpeedkm/h 233
1045,209.0,GPSSpeedkm/h 235
1046,209.2,GPSSpeedkm/h 228
1047,209.4,GPSSpeedkm/h 220 
1048,209.6,GPSSpeedkm/h 211
1049,209.8,GPSSpeedkm/h 203
1050,210.0,GPSSpeedkm/h 192
1051,210.2,GPSSpeedkm/h 181
1052,210.4,GPSSpeedkm/h 169
1053,210.6,GPSSpeedkm/h 159
1054,210.8,GPSSpeedkm/h 151
1055,211.0,GPSSpeedkm/h 141
1056,211.2,GPSSpeedkm/h 132
1057,211.4,GPSSpeedkm/h 125
1058,211.6,GPSSpeedkm/h 120
1059,211.8,GPSSpeedkm/h 118
1060,212.0,GPSSpeedkm/h 113
1061,212.2,GPSSpeedkm/h 111
1062,212.4,GPSSpeedkm/h 109
1063,212.6,GPSSpeedkm/h 105
1064,212.8,GPSSpeedkm/h 102
1065,213.0,GPSSpeedkm/h 099
1066,213.2,GPSSpeedkm/h 096
1067,213.4,GPSSpeedkm/h 094
1068,213.6,GPSSpeedkm/h 092
1069,213.8,GPSSpeedkm/h 092
1070,214.0,GPSSpeedkm/h 092
1071,214.2,GPSSpeedkm/h 094
1072,214.4,GPSSpeedkm/h 094
1073,214.6,GPSSpeedkm/h 097
1074,214.8,GPSSpeedkm/h 099
1075,215.0,GPSSpeedkm/h 103
1076,215.2,GPSSpeedkm/h 107
1077,215.4,GPSSpeedkm/h 111
1078,215.6,GPSSpeedkm/h 116
1079,215.8,GPSSpeedkm/h 120
1080,216.0,GPSSpeedkm/h 129
1081,216.2,GPSSpeedkm/h 135
1082,216.4,GPSSpeedkm/h 141
1083,216.6,GPSSpeedkm/h 146
1084,216.8,GPSSpeedkm/h 151
1085,217.0,GPSSpeedkm/h 157
1086,217.2,GPSSpeedkm/h 163
1087,217.4,GPSSpeedkm/h 168
1088,217.6,GPSSpeedkm/h 172
1089,217.8,GPSSpeedkm/h 176
1090,218.0,GPSSpeedkm/h 180
1091,218.2,GPSSpeedkm/h 184
1092,218.4,GPSSpeedkm/h 186
1093,218.6,GPSSpeedkm/h 189
1094,218.8,GPSSpeedkm/h 193
1095,219.0,GPSSpeedkm/h 197
1096,219.2,GPSSpeedkm/h 202
1097,219.4,GPSSpeedkm/h 206 
1098,219.6,GPSSpeedkm/h 210
1099,219.8,GPSSpeedkm/h 213
1100,220.0,GPSSpeedkm/h 217
1101,220.2,GPSSpeedkm/h 212
1102,220.4,GPSSpeedkm/h 204
1103,220.6,GPSSpeedkm/h 193
1104,220.8,GPSSpeedkm/h 184
1105,221.0,GPSSpeedkm/h 170
1106,221.2,GPSSpeedkm/h 159
1107,221.4,GPSSpeedkm/h 149
1108,221.6,GPSSpeedkm/h 139
1109,221.8,GPSSpeedkm/h 131
1110,222.0,GPSSpeedkm/h 121
1111,222.2,GPSSpeedkm/h 115
1112,222.4,GPSSpeedkm/h 111
1113,222.6,GPSSpeedkm/h 108
1114,222.8,GPSSpeedkm/h 105
1115,223.0,GPSSpeedkm/h 099
1116,223.2,GPSSpeedkm/h 093
1117,223.4,GPSSpeedkm/h 092
1118,223.6,GPSSpeedkm/h 093
1119,223.8,GPSSpeedkm/h 091
1120,224.0,GPSSpeedkm/h 090
1121,224.2,GPSSpeedkm/h 091
1122,224.4,GPSSpeedkm/h 091
1123,224.6,GPSSpeedkm/h 092
1124,224.8,GPSSpeedkm/h 091
1125,225.0,GPSSpeedkm/h 091
1126,225.2,GPSSpeedkm/h 090
1127,225.4,GPSSpeedkm/h 089
1128,225.6,GPSSpeedkm/h 089
1129,225.8,GPSSpeedkm/h 090
1130,226.0,GPSSpeedkm/h 091
1131,226.2,GPSSpeedkm/h 091
1132,226.4,GPSSpeedkm/h 092
1133,226.6,GPSSpeedkm/h 094
1134,226.8,GPSSpeedkm/h 097
1135,227.0,GPSSpeedkm/h 105
1136,227.2,GPSSpeedkm/h 111
1137,227.4,GPSSpeedkm/h 117
1138,227.6,GPSSpeedkm/h 123
1139,227.8,GPSSpeedkm/h 128
1140,228.0,GPSSpeedkm/h 134
1141,228.2,GPSSpeedkm/h 142
1142,228.4,GPSSpeedkm/h 149
1143,228.6,GPSSpeedkm/h 155
1144,228.8,GPSSpeedkm/h 161
1145,229.0,GPSSpeedkm/h 168
1146,229.2,GPSSpeedkm/h 173
1147,229.4,GPSSpeedkm/h 178
1148,229.6,GPSSpeedkm/h 183
1149,229.8,GPSSpeedkm/h 187
1150,230.0,GPSSpeedkm/h 191
1151,230.2,GPSSpeedkm/h 195
1152,230.4,GPSSpeedkm/h 199
1153,230.6,GPSSpeedkm/h 202
1154,230.8,GPSSpeedkm/h 206 
1155,231.0,GPSSpeedkm/h 210
1156,231.2,GPSSpeedkm/h 214
1157,231.4,GPSSpeedkm/h 218
1158,231.6,GPSSpeedkm/h 221
1159,231.8,GPSSpeedkm/h 224
1160,232.0,GPSSpeedkm/h 228
1161,232.2,GPSSpeedkm/h 231
1162,232.4,GPSSpeedkm/h 234
1163,232.6,GPSSpeedkm/h 236
1164,232.8,GPSSpeedkm/h 238
1165,233.0,GPSSpeedkm/h 241
1166,233.2,GPSSpeedkm/h 240
1167,233.4,GPSSpeedkm/h 234
1168,233.6,GPSSpeedkm/h 223
1169,233.8,GPSSpeedkm/h 213
1170,234.0,GPSSpeedkm/h 205
1171,234.2,GPSSpeedkm/h 200
1172,234.4,GPSSpeedkm/h 196
1173,234.6,GPSSpeedkm/h 194
1174,234.8,GPSSpeedkm/h 193
1175,235.0,GPSSpeedkm/h 193
1176,235.2,GPSSpeedkm/h 194
1177,235.4,GPSSpeedkm/h 197
1178,235.6,GPSSpeedkm/h 201
1179,235.8,GPSSpeedkm/h 204
1180,236.0,GPSSpeedkm/h 205
1181,236.2,GPSSpeedkm/h 204
1182,236.4,GPSSpeedkm/h 206 
1183,236.6,GPSSpeedkm/h 209
1184,236.8,GPSSpeedkm/h 211
1185,237.0,GPSSpeedkm/h 214
1186,237.2,GPSSpeedkm/h 215
1187,237.4,GPSSpeedkm/h 216
1188,237.6,GPSSpeedkm/h 213
1189,237.8,GPSSpeedkm/h 207
1190,238.0,GPSSpeedkm/h 195
1191,238.2,GPSSpeedkm/h 185
1192,238.4,GPSSpeedkm/h 177
1193,238.6,GPSSpeedkm/h 170
1194,238.8,GPSSpeedkm/h 165
1195,239.0,GPSSpeedkm/h 160
1196,239.2,GPSSpeedkm/h 156
1197,239.4,GPSSpeedkm/h 153
1198,239.6,GPSSpeedkm/h 150
1199,239.8,GPSSpeedkm/h 150
1200,240.0,GPSSpeedkm/h 150
1201,240.2,GPSSpeedkm/h 153
1202,240.4,GPSSpeedkm/h 160
1203,240.6,GPSSpeedkm/h 159
1204,240.8,GPSSpeedkm/h 157
1205,241.0,GPSSpeedkm/h 154
1206,241.2,GPSSpeedkm/h 152
1207,241.4,GPSSpeedkm/h 151
1208,241.6,GPSSpeedkm/h 149
1209,241.8,GPSSpeedkm/h 149
1210,242.0,GPSSpeedkm/h 148
1211,242.2,GPSSpeedkm/h 150
1212,242.4,GPSSpeedkm/h 153
1213,242.6,GPSSpeedkm/h 156
1214,242.8,GPSSpeedkm/h 160
1215,243.0,GPSSpeedkm/h 167
1216,243.2,GPSSpeedkm/h 169
1217,243.4,GPSSpeedkm/h 162
1218,243.6,GPSSpeedkm/h 154
1219,243.8,GPSSpeedkm/h 147
1220,244.0,GPSSpeedkm/h 140
1221,244.2,GPSSpeedkm/h 137
1222,244.4,GPSSpeedkm/h 134
1223,244.6,GPSSpeedkm/h 132
1224,244.8,GPSSpeedkm/h 131
1225,245.0,GPSSpeedkm/h 125
1226,245.2,GPSSpeedkm/h 122
1227,245.4,GPSSpeedkm/h 120
1228,245.6,GPSSpeedkm/h 118
1229,245.8,GPSSpeedkm/h 120
1230,246.0,GPSSpeedkm/h 123
1231,246.2,GPSSpeedkm/h 125
1232,246.4,GPSSpeedkm/h 131
1233,246.6,GPSSpeedkm/h 137
1234,246.8,GPSSpeedkm/h 141
1235,247.0,GPSSpeedkm/h 149
1236,247.2,GPSSpeedkm/h 155
1237,247.4,GPSSpeedkm/h 162
1238,247.6,GPSSpeedkm/h 168
1239,247.8,GPSSpeedkm/h 173
1240,248.0,GPSSpeedkm/h 179
1241,248.2,GPSSpeedkm/h 185
1242,248.4,GPSSpeedkm/h 188
1243,248.6,GPSSpeedkm/h 191
1244,248.8,GPSSpeedkm/h 194
1245,249.0,GPSSpeedkm/h 198
1246,249.2,GPSSpeedkm/h 202
1247,249.4,GPSSpeedkm/h 206
1248,249.6,GPSSpeedkm/h 211
1249,249.8,GPSSpeedkm/h 215
1250,250.0,GPSSpeedkm/h 215
1251,250.2,GPSSpeedkm/h 207
1252,250.4,GPSSpeedkm/h 201
1253,250.6,GPSSpeedkm/h 196
1254,250.8,GPSSpeedkm/h 193
1255,251.0,GPSSpeedkm/h 190
1256,251.2,GPSSpeedkm/h 189
1257,251.4,GPSSpeedkm/h 189
1258,251.6,GPSSpeedkm/h 187
1259,251.8,GPSSpeedkm/h 186
1260,252.0,GPSSpeedkm/h 184
1261,252.2,GPSSpeedkm/h 183
1262,252.4,GPSSpeedkm/h 184
1263,252.6,GPSSpeedkm/h 185
1264,252.8,GPSSpeedkm/h 183
1265,253.0,GPSSpeedkm/h 178
1266,253.2,GPSSpeedkm/h 175
1267,253.4,GPSSpeedkm/h 174
1268,253.6,GPSSpeedkm/h 173
1269,253.8,GPSSpeedkm/h 173
1270,254.0,GPSSpeedkm/h 170
1271,254.2,GPSSpeedkm/h 168
1272,254.4,GPSSpeedkm/h 167
1273,254.6,GPSSpeedkm/h 167
1274,254.8,GPSSpeedkm/h 167
1275,255.0,GPSSpeedkm/h 167
1276,255.2,GPSSpeedkm/h 168
1277,255.4,GPSSpeedkm/h 167
1278,255.6,GPSSpeedkm/h 165
1279,255.8,GPSSpeedkm/h 163
1280,256.0,GPSSpeedkm/h 161
1281,256.2,GPSSpeedkm/h 160
1282,256.4,GPSSpeedkm/h 159
1283,256.6,GPSSpeedkm/h 159
1284,256.8,GPSSpeedkm/h 159
1285,257.0,GPSSpeedkm/h 158
1286,257.2,GPSSpeedkm/h 158
1287,257.4,GPSSpeedkm/h 160
1288,257.6,GPSSpeedkm/h 164
1289,257.8,GPSSpeedkm/h 168
1290,258.0,GPSSpeedkm/h 176
1291,258.2,GPSSpeedkm/h 182
1292,258.4,GPSSpeedkm/h 187
1293,258.6,GPSSpeedkm/h 192
1294,258.8,GPSSpeedkm/h 197
1295,259.0,GPSSpeedkm/h 193
1296,259.2,GPSSpeedkm/h 182
1297,259.4,GPSSpeedkm/h 169
1298,259.6,GPSSpeedkm/h 157
1299,259.8,GPSSpeedkm/h 148
1300,260.0,GPSSpeedkm/h 137
1301,260.2,GPSSpeedkm/h 131
1302,260.4,GPSSpeedkm/h 130
1303,260.6,GPSSpeedkm/h 129
1304,260.8,GPSSpeedkm/h 129
1305,261.0,GPSSpeedkm/h 133
1306,261.2,GPSSpeedkm/h 133
1307,261.4,GPSSpeedkm/h 133
1308,261.6,GPSSpeedkm/h 132
1309,261.8,GPSSpeedkm/h 132
1310,262.0,GPSSpeedkm/h 135
1311,262.2,GPSSpeedkm/h 139
1312,262.4,GPSSpeedkm/h 142
1313,262.6,GPSSpeedkm/h 146
1314,262.8,GPSSpeedkm/h 149
1315,263.0,GPSSpeedkm/h 154
1316,263.2,GPSSpeedkm/h 159
1317,263.4,GPSSpeedkm/h 165
1318,263.6,GPSSpeedkm/h 170
1319,263.8,GPSSpeedkm/h 175
1320,264.0,GPSSpeedkm/h 180
1321,264.2,GPSSpeedkm/h 185
1322,264.4,GPSSpeedkm/h 181
1323,264.6,GPSSpeedkm/h 174
1324,264.8,GPSSpeedkm/h 167
1325,265.0,GPSSpeedkm/h 157
1326,265.2,GPSSpeedkm/h 150
1327,265.4,GPSSpeedkm/h 144
1328,265.6,GPSSpeedkm/h 142
1329,265.8,GPSSpeedkm/h 141
1330,266.0,GPSSpeedkm/h 138
1331,266.2,GPSSpeedkm/h 136
1332,266.4,GPSSpeedkm/h 133
1333,266.6,GPSSpeedkm/h 132
1334,266.8,GPSSpeedkm/h 131
1335,267.0,GPSSpeedkm/h 130
1336,267.2,GPSSpeedkm/h 131
1337,267.4,GPSSpeedkm/h 133
1338,267.6,GPSSpeedkm/h 136
1339,267.8,GPSSpeedkm/h 139
1340,268.0,GPSSpeedkm/h 144
1341,268.2,GPSSpeedkm/h 148
1342,268.4,GPSSpeedkm/h 152
1343,268.6,GPSSpeedkm/h 156
1344,268.8,GPSSpeedkm/h 160
1345,269.0,GPSSpeedkm/h 166
1346,269.2,GPSSpeedkm/h 169
1347,269.4,GPSSpeedkm/h 173
1348,269.6,GPSSpeedkm/h 170
1349,269.8,GPSSpeedkm/h 162
1350,270.0,GPSSpeedkm/h 150
1351,270.2,GPSSpeedkm/h 141
1352,270.4,GPSSpeedkm/h 135
1353,270.6,GPSSpeedkm/h 132
1354,270.8,GPSSpeedkm/h 131
1355,271.0,GPSSpeedkm/h 128
1356,271.2,GPSSpeedkm/h 125
1357,271.4,GPSSpeedkm/h 123
1358,271.6,GPSSpeedkm/h 121
1359,271.8,GPSSpeedkm/h 121
1360,272.0,GPSSpeedkm/h 126
1361,272.2,GPSSpeedkm/h 129
1362,272.4,GPSSpeedkm/h 134
1363,272.6,GPSSpeedkm/h 138
1364,272.8,GPSSpeedkm/h 143
