t_s,speed_kmh,s_m
0.00,101.0,0.0
0.20,107.0,5.8
0.40,112.0,11.9
0.60,118.0,18.2
0.80,125.0,25.0
1.00,134.0,32.2
1.20,142.0,39.9
1.40,151.0,48.0
1.60,157.0,56.6
1.80,163.0,65.4
2.00,170.0,74.7
2.20,174.0,84.2
2.40,180.0,94.1
2.60,184.0,104.2
2.80,188.0,114.5
3.00,189.0,125.0
3.20,186.0,135.4
3.40,176.0,145.5
3.60,167.0,155.0
3.80,154.0,163.9
4.00,147.0,172.3
4.20,140.0,180.2
4.40,133.0,187.8
4.60,123.0,194.9
4.80,117.0,201.6
5.00,109.0,207.9
5.20,102.0,213.8
5.40,96.0,219.2
5.60,92.0,224.5
5.80,90.0,229.5
6.00,87.0,234.4
6.20,86.0,239.2
6.40,84.0,244.0
6.60,83.0,248.6
6.80,84.0,253.2
7.00,85.0,257.9
7.20,87.0,262.7
7.40,90.0,267.6
7.60,93.0,272.7
7.80,98.0,278.0
8.00,104.0,283.6
8.20,110.0,289.6
8.40,116.0,295.9
8.60,122.0,302.5
8.80,130.0,309.5
9.00,140.0,317.0
9.20,147.0,324.9
9.40,154.0,333.3
9.60,162.0,342.1
9.80,169.0,351.3
10.00,175.0,360.8
10.20,180.0,370.7
10.40,186.0,380.9
10.60,189.0,391.3
10.80,193.0,401.9
11.00,195.0,412.7
11.20,199.0,423.6
11.40,204.0,434.8
11.60,207.0,446.2
11.80,211.0,457.8
12.00,215.0,469.7
12.20,216.0,481.6
12.40,210.0,493.5
12.60,205.0,505.0
12.80,199.0,516.2
13.00,194.0,527.1
13.20,191.0,537.8
13.40,187.0,548.3
13.60,184.0,558.6
13.80,182.0,568.8
14.00,182.0,578.9
14.20,181.0,589.0
14.40,181.0,599.1
14.60,182.0,609.1
14.80,182.0,619.3
15.00,184.0,629.4
15.20,185.0,639.7
15.40,189.0,650.1
15.60,192.0,660.6
15.80,196.0,671.4
16.00,199.0,682.4
16.20,202.0,693.5
16.40,207.0,704.9
16.60,212.0,716.5
16.80,217.0,728.4
17.00,221.0,740.6
17.20,226.0,753.0
17.40,229.0,765.7
17.60,232.0,778.5
17.80,235.0,791.4
18.00,238.0,804.6
18.20,241.0,817.9
18.40,241.0,831.3
18.60,239.0,844.6
18.80,232.0,857.7
19.00,220.0,870.2
19.20,212.0,882.2
19.40,201.0,893.7
19.60,191.0,904.6
19.80,181.0,914.9
20.00,175.0,924.8
20.20,168.0,934.4
20.40,164.0,943.6
20.60,161.0,952.6
20.80,157.0,961.4
21.00,152.0,970.0
21.20,145.0,978.3
21.40,138.0,986.1
21.60,134.0,993.7
21.80,129.0,1001.0
22.00,126.0,1008.1
22.20,122.0,1015.0
22.40,119.0,1021.7
22.60,116.0,1028.2
22.80,114.0,1034.6
23.00,112.0,1040.9
23.20,112.0,1047.1
23.40,115.0,1053.4
23.60,119.0,1059.9
23.80,123.0,1066.6
24.00,126.0,1073.5
24.20,132.0,1080.7
24.40,138.0,1088.2
24.60,144.0,1096.0
24.80,148.0,1104.1
25.00,156.0,1112.6
25.20,161.0,1121.4
25.40,165.0,1130.4
25.60,168.0,1139.7
25.80,166.0,1149.0
26.00,164.0,1158.1
26.20,162.0,1167.2
26.40,161.0,1176.2
26.60,161.0,1185.1
26.80,162.0,1194.1
27.00,161.0,1203.1
27.20,157.0,1211.9
27.40,148.0,1220.4
27.60,140.0,1228.4
27.80,136.0,1236.0
28.00,133.0,1243.5
28.20,131.0,1250.8
28.40,127.0,1258.0
28.60,125.0,1265.0
28.80,124.0,1271.9
29.00,123.0,1278.8
29.20,124.0,1285.6
29.40,124.0,1292.5
29.60,123.0,1299.4
29.80,122.0,1306.2
30.00,122.0,1313.0
30.20,121.0,1319.7
30.40,122.0,1326.5
30.60,121.0,1333.2
30.80,122.0,1340.0
31.00,124.0,1346.8
31.20,127.0,1353.8
31.40,133.0,1361.0
31.60,138.0,1368.5
31.80,146.0,1376.4
32.00,151.0,1384.7
32.20,158.0,1393.2
32.40,163.0,1402.2
32.60,171.0,1411.4
32.80,176.0,1421.1
33.00,171.0,1430.7
33.20,163.0,1440.0
33.40,152.0,1448.7
33.60,144.0,1457.0
33.80,135.0,1464.7
34.00,124.0,1471.9
34.20,118.0,1478.6
34.40,113.0,1485.1
34.60,110.0,1491.2
34.80,106.0,1497.2
35.00,105.0,1503.1
35.20,105.0,1508.9
35.40,104.0,1514.7
35.60,104.0,1520.5
35.80,104.0,1526.3
36.00,106.0,1532.1
36.20,109.0,1538.1
36.40,112.0,1544.2
36.60,117.0,1550.6
36.80,123.0,1557.3
37.00,129.0,1564.3
37.20,137.0,1571.7
37.40,141.0,1579.4
37.60,145.0,1587.3
37.80,151.0,1595.6
38.00,156.0,1604.1
38.20,163.0,1612.9
38.40,168.0,1622.1
38.60,173.0,1631.6
38.80,178.0,1641.4
39.00,184.0,1651.4
39.20,189.0,1661.8
39.40,194.0,1672.4
39.60,200.0,1683.4
39.80,205.0,1694.6
40.00,209.0,1706.1
40.20,214.0,1717.9
40.40,219.0,1729.9
40.60,223.0,1742.2
40.80,227.0,1754.7
41.00,231.0,1767.4
41.20,233.0,1780.3
41.40,237.0,1793.3
41.60,240.0,1806.6
41.80,242.0,1820.0
42.00,246.0,1833.5
42.20,248.0,1847.2
42.40,251.0,1861.1
42.60,254.0,1875.1
42.80,256.0,1889.3
43.00,260.0,1903.6
43.20,262.0,1918.1
43.40,266.0,1932.8
43.60,268.0,1947.6
43.80,272.0,1962.6
44.00,273.0,1977.8
44.20,273.0,1992.9
44.40,275.0,2008.2
44.60,276.0,2023.5
44.80,277.0,2038.8
45.00,280.0,2054.3
45.20,281.0,2069.9
45.40,285.0,2085.6
45.60,285.0,2101.4
45.80,285.0,2117.3
46.00,285.0,2133.1
46.20,277.0,2148.7
46.40,270.0,2163.9
46.60,264.0,2178.8
46.80,255.0,2193.2
47.00,247.0,2207.1
47.20,241.0,2220.7
47.40,232.0,2233.8
47.60,225.0,2246.5
47.80,218.0,2258.8
48.00,214.0,2270.8
48.20,210.0,2282.6
48.40,207.0,2294.2
48.60,206.0,2305.6
48.80,205.0,2317.1
49.00,204.0,2328.4
49.20,204.0,2339.8
49.40,205.0,2351.1
49.60,207.0,2362.6
49.80,208.0,2374.1
50.00,211.0,2385.7
50.20,212.0,2397.5
50.40,215.0,2409.3
50.60,218.0,2421.4
50.80,219.0,2433.5
51.00,221.0,2445.7
51.20,222.0,2458.0
51.40,225.0,2470.4
51.60,227.0,2483.0
51.80,230.0,2495.7
52.00,232.0,2508.5
52.20,235.0,2521.5
52.40,238.0,2534.6
52.60,241.0,2547.9
52.80,243.0,2561.4
53.00,246.0,2575.0
53.20,248.0,2588.7
53.40,250.0,2602.5
53.60,253.0,2616.5
53.80,256.0,2630.6
54.00,258.0,2644.9
54.20,260.0,2659.3
54.40,264.0,2673.9
54.60,265.0,2688.6
54.80,267.0,2703.3
55.00,270.0,2718.3
55.20,272.0,2733.3
55.40,274.0,2748.5
55.60,276.0,2763.8
55.80,279.0,2779.2
56.00,281.0,2794.7
56.20,282.0,2810.4
56.40,285.0,2826.1
56.60,286.0,2842.0
56.80,289.0,2857.9
57.00,290.0,2874.0
57.20,290.0,2890.1
57.40,294.0,2906.4
57.60,297.0,2922.8
57.80,299.0,2939.3
58.00,301.0,2956.0
58.20,303.0,2972.8
58.40,306.0,2989.7
58.60,309.0,3006.8
58.80,310.0,3024.0
59.00,312.0,3041.2
59.20,314.0,3058.6
59.40,316.0,3076.1
59.60,318.0,3093.7
59.80,319.0,3111.4
60.00,319.0,3129.2
60.20,320.0,3146.9
60.40,321.0,3164.7
60.60,322.0,3182.6
60.80,323.0,3200.5
61.00,324.0,3218.5
61.20,325.0,3236.5
61.40,325.0,3254.6
61.60,326.0,3272.6
61.80,327.0,3290.8
62.00,328.0,3309.0
62.20,329.0,3327.2
62.40,330.0,3345.5
62.60,330.0,3363.9
62.80,324.0,3382.0
63.00,312.0,3399.7
63.20,302.0,3416.7
63.40,286.0,3433.1
63.60,276.0,3448.7
63.80,265.0,3463.7
64.00,257.0,3478.2
64.20,250.0,3492.3
64.40,245.0,3506.1
64.60,240.0,3519.5
64.80,235.0,3532.7
65.00,232.0,3545.7
65.20,231.0,3558.6
65.40,234.0,3571.5
65.60,236.0,3584.5
65.80,239.0,3597.7
66.00,241.0,3611.1
66.20,243.0,3624.5
66.40,245.0,3638.1
66.60,249.0,3651.8
66.80,250.0,3665.6
67.00,252.0,3679.6
67.20,253.0,3693.6
67.40,247.0,3707.5
67.60,239.0,3721.0
67.80,225.0,3733.9
68.00,213.0,3746.1
68.20,203.0,3757.6
68.40,194.0,3768.6
68.60,182.0,3779.1
68.80,175.0,3789.0
69.00,164.0,3798.4
69.20,155.0,3807.3
69.40,146.0,3815.6
69.60,138.0,3823.5
69.80,131.0,3831.0
70.00,128.0,3838.2
70.20,125.0,3845.2
70.40,123.0,3852.1
70.60,120.0,3858.9
70.80,117.0,3865.4
71.00,114.0,3871.9
71.20,112.0,3878.1
71.40,111.0,3884.3
71.60,110.0,3890.5
71.80,108.0,3896.5
72.00,108.0,3902.5
72.20,110.0,3908.6
72.40,113.0,3914.8
72.60,117.0,3921.2
72.80,120.0,3927.7
73.00,125.0,3934.6
73.20,131.0,3941.7
73.40,137.0,3949.1
73.60,143.0,3956.9
73.80,147.0,3964.9
74.00,150.0,3973.2
74.20,155.0,3981.7
74.40,163.0,3990.5
74.60,169.0,3999.7
74.80,173.0,4009.2
75.00,180.0,4019.0
75.20,182.0,4029.1
75.40,187.0,4039.3
75.60,195.0,4049.9
75.80,200.0,4060.9
76.00,208.0,4072.2
76.20,213.0,4083.9
76.40,217.0,4095.9
76.60,222.0,4108.1
76.80,226.0,4120.5
77.00,231.0,4133.2
77.20,235.0,4146.2
77.40,239.0,4159.3
77.60,242.0,4172.7
77.80,245.0,4186.2
78.00,249.0,4199.9
78.20,251.0,4213.8
78.40,254.0,4227.9
78.60,256.0,4242.0
78.80,260.0,4256.4
79.00,263.0,4270.9
79.20,267.0,4285.6
79.40,270.0,4300.5
79.60,273.0,4315.6
79.80,275.0,4330.8
80.00,279.0,4346.2
80.20,281.0,4361.8
80.40,283.0,4377.4
80.60,286.0,4393.2
80.80,288.0,4409.2
81.00,288.0,4425.2
81.20,290.0,4441.2
81.40,292.0,4457.4
81.60,294.0,4473.7
81.80,297.0,4490.1
82.00,300.0,4506.7
82.20,302.0,4523.4
82.40,304.0,4540.2
82.60,305.0,4557.2
82.80,307.0,4574.2
83.00,309.0,4591.3
83.20,311.0,4608.5
83.40,313.0,4625.8
83.60,313.0,4643.2
83.80,312.0,4660.6
84.00,312.0,4677.9
84.20,311.0,4695.2
84.40,308.0,4712.4
84.60,306.0,4729.5
84.80,303.0,4746.4
85.00,300.0,4763.1
85.20,295.0,4779.7
85.40,286.0,4795.8
85.60,276.0,4811.4
85.80,261.0,4826.3
86.00,250.0,4840.5
86.20,242.0,4854.2
86.40,231.0,4867.3
86.60,220.0,4879.9
86.80,211.0,4891.8
87.00,203.0,4903.3
87.20,196.0,4914.4
87.40,194.0,4925.2
87.60,193.0,4936.0
87.80,191.0,4946.7
88.00,189.0,4957.2
88.20,189.0,4967.7
88.40,196.0,4978.4
88.60,199.0,4989.4
88.80,194.0,5000.3
89.00,188.0,5010.9
89.20,177.0,5021.1
89.40,167.0,5030.6
89.60,163.0,5039.8
89.80,156.0,5048.6
90.00,153.0,5057.2
90.20,151.0,5065.7
90.40,150.0,5074.0
90.60,145.0,5082.2
90.80,145.0,5090.3
91.00,145.0,5098.3
91.20,144.0,5106.4
91.40,142.0,5114.3
91.60,144.0,5122.2
91.80,147.0,5130.3
92.00,151.0,5138.6
92.20,151.0,5147.0
92.40,144.0,5155.2
92.60,133.0,5162.9
92.80,126.0,5170.1
93.00,117.0,5176.8
93.20,107.0,5183.1
93.40,103.0,5188.9
93.60,97.0,5194.4
93.80,95.0,5199.8
94.00,93.0,5205.0
94.20,91.0,5210.1
94.40,88.0,5215.1
94.60,86.0,5219.9
94.80,85.0,5224.7
95.00,84.0,5229.4
95.20,84.0,5234.0
95.40,84.0,5238.7
95.60,87.0,5243.4
95.80,89.0,5248.3
96.00,92.0,5253.4
96.20,94.0,5258.5
96.40,95.0,5263.8
96.60,92.0,5269.0
96.80,91.0,5274.1
97.00,90.0,5279.1
97.20,92.0,5284.1
97.60,97.0,5294.6
97.80,100.0,5300.1
98.00,104.0,5305.8
98.20,107.0,5311.6
98.40,114.0,5317.8
98.60,121.0,5324.3
98.80,127.0,5331.2
99.00,132.0,5338.4
99.20,142.0,5346.0
99.40,148.0,5354.1
99.60,157.0,5362.5
99.80,163.0,5371.4
100.00,167.0,5380.6
100.20,174.0,5390.1
100.40,178.0,5399.8
100.60,186.0,5409.9
100.80,190.0,5420.4
101.00,196.0,5431.1
101.20,202.0,5442.2
101.40,207.0,5453.5
101.60,211.0,5465.1
101.80,215.0,5477.0
102.00,220.0,5489.1
102.20,225.0,5501.4
102.40,228.0,5514.0
102.60,231.0,5526.8
102.80,235.0,5539.7
103.00,239.0,5552.9
103.20,242.0,5566.2
103.40,245.0,5579.8
103.60,248.0,5593.4
103.80,251.0,5607.3
104.00,254.0,5621.3
104.20,257.0,5635.5
104.40,260.0,5649.9
104.60,263.0,5664.4
104.80,265.0,5679.1
105.00,268.0,5693.9
105.20,271.0,5708.9
105.40,274.0,5724.0
105.60,275.0,5739.3
105.80,277.0,5754.6
106.00,279.0,5770.0
106.20,274.0,5785.4
106.40,267.0,5800.4
106.60,258.0,5815.0
106.80,252.0,5829.2
107.00,242.0,5842.9
107.20,230.0,5856.0
107.40,221.0,5868.5
107.60,214.0,5880.6
107.80,209.0,5892.4
108.00,203.0,5903.8
108.20,199.0,5915.0
108.40,196.0,5925.9
108.60,192.0,5936.7
108.80,189.0,5947.3
109.00,187.0,5957.8
109.20,188.0,5968.2
109.40,188.0,5978.6
109.60,191.0,5989.1
109.80,193.0,5999.8
110.00,197.0,6010.6
110.20,199.0,6021.6
110.40,203.0,6032.8
110.60,209.0,6044.3
110.80,213.0,6056.0
111.00,216.0,6067.9
111.20,209.0,6079.7
111.40,201.0,6091.1
111.60,188.0,6101.9
111.80,179.0,6112.1
112.00,169.0,6121.8
112.20,158.0,6130.8
112.40,146.0,6139.3
112.60,138.0,6147.2
112.80,132.0,6154.7
113.00,127.0,6161.9
113.20,123.0,6168.8
113.40,120.0,6175.6
113.60,118.0,6182.2
113.80,116.0,6188.7
114.00,115.0,6195.1
114.20,116.0,6201.5
114.40,117.0,6208.0
114.60,118.0,6214.5
114.80,119.0,6221.1
115.00,122.0,6227.8
115.20,126.0,6234.7
115.40,135.0,6241.9
115.60,142.0,6249.6
115.80,146.0,6257.6
116.00,149.0,6265.8
116.20,154.0,6274.2
116.40,156.0,6282.8
116.60,158.0,6291.6
116.80,162.0,6300.4
117.00,168.0,6309.6
117.20,176.0,6319.2
117.40,181.0,6329.1
117.60,186.0,6339.3
117.80,192.0,6349.8
118.00,195.0,6360.5
118.20,191.0,6371.3
118.40,184.0,6381.7
118.60,175.0,6391.6
118.80,166.0,6401.1
119.00,156.0,6410.1
119.20,145.0,6418.4
119.40,134.0,6426.2
119.60,126.0,6433.4
119.80,121.0,6440.3
120.00,114.0,6446.8
120.20,110.0,6453.0
120.40,107.0,6459.0
120.60,104.0,6464.9
120.80,103.0,6470.6
121.00,101.0,6476.3
121.20,100.0,6481.9
121.40,101.0,6487.5
121.60,102.0,6493.1
121.80,103.0,6498.8
122.00,106.0,6504.6
122.20,110.0,6510.6
122.40,115.0,6516.9
122.60,121.0,6523.4
122.80,126.0,6530.3
123.00,133.0,6537.5
123.20,138.0,6545.0
123.40,143.0,6552.8
123.60,150.0,6560.9
123.80,155.0,6569.4
124.00,163.0,6578.3
124.20,170.0,6587.5
124.40,177.0,6597.1
124.60,184.0,6607.2
124.80,189.0,6617.5
125.00,195.0,6628.2
125.20,199.0,6639.1
125.40,200.0,6650.2
125.60,196.0,6661.2
125.80,190.0,6671.9
126.00,185.0,6682.4
126.20,182.0,6692.6
126.40,179.0,6702.6
126.60,178.0,6712.5
126.80,178.0,6722.4
127.00,177.0,6732.3
127.20,176.0,6742.1
127.40,175.0,6751.8
127.60,175.0,6761.5
127.80,174.0,6771.2
128.00,175.0,6780.9
128.20,180.0,6790.8
128.40,188.0,6801.0
128.60,197.0,6811.7
128.80,202.0,6822.8
129.00,210.0,6834.2
129.20,212.0,6845.9
129.40,210.0,6857.7
129.60,206.0,6869.2
129.80,200.0,6880.5
130.00,191.0,6891.4
130.20,185.0,6901.8
130.40,179.0,6911.9
130.60,173.0,6921.7
130.80,170.0,6931.2
131.00,167.0,6940.6
131.20,165.0,6949.8
131.40,162.0,6958.9
131.60,161.0,6967.9
131.80,159.0,6976.8
132.00,159.0,6985.6
132.20,158.0,6994.4
132.40,159.0,7003.2
132.60,160.0,7012.1
132.80,161.0,7021.0
133.00,162.0,7029.9
133.20,163.0,7039.0
133.40,163.0,7048.0
133.60,163.0,7057.1
133.80,164.0,7066.2
134.00,171.0,7075.5
134.20,174.0,7085.1
134.40,178.0,7094.8
134.60,182.0,7104.8
134.80,189.0,7115.1
135.00,196.0,7125.8
135.20,200.0,7136.8
135.40,206.0,7148.1
135.60,210.0,7159.7
135.80,212.0,7171.4
136.00,217.0,7183.3
136.20,222.0,7195.5
136.40,225.0,7207.9
136.60,225.0,7220.4
136.80,217.0,7232.7
137.00,207.0,7244.5
137.20,195.0,7255.6
137.40,185.0,7266.2
137.60,174.0,7276.2
137.80,166.0,7285.6
138.00,157.0,7294.6
138.20,151.0,7303.1
138.40,146.0,7311.4
138.60,143.0,7319.4
138.80,141.0,7327.3
139.00,139.0,7335.1
139.20,132.0,7342.6
139.40,124.0,7349.7
139.60,116.0,7356.4
139.80,110.0,7362.7
140.00,102.0,7368.6
140.20,96.0,7374.1
140.40,92.0,7379.3
140.60,89.0,7384.3
140.80,86.0,7389.2
141.00,79.0,7393.7
141.20,76.0,7398.1
141.40,75.0,7402.2
141.60,75.0,7406.4
141.80,76.0,7410.6
142.00,76.0,7414.8
142.20,77.0,7419.1
142.40,79.0,7423.4
142.60,81.0,7427.9
142.80,85.0,7432.5
143.00,90.0,7437.3
143.40,102.0,7448.0
143.60,108.0,7453.8
143.80,113.0,7460.0
144.00,116.0,7466.3
144.20,122.0,7472.9
144.40,129.0,7479.9
144.60,136.0,7487.3
144.80,141.0,7495.0
145.00,146.0,7502.9
145.20,152.0,7511.2
145.40,158.0,7519.8
145.60,164.0,7528.8
145.80,168.0,7538.0
146.00,175.0,7547.5
146.20,178.0,7557.3
146.40,183.0,7567.4
146.60,188.0,7577.7
146.80,192.0,7588.2
147.00,199.0,7599.1
147.20,205.0,7610.3
147.40,210.0,7621.8
147.60,215.0,7633.6
147.80,218.0,7645.7
148.00,223.0,7657.9
148.20,227.0,7670.4
148.40,230.0,7683.1
148.60,232.0,7695.9
148.80,235.0,7708.9
149.00,238.0,7722.1
149.20,242.0,7735.4
149.40,242.0,7748.8
149.60,235.0,7762.1
149.80,229.0,7775.0
150.00,217.0,7787.4
150.20,203.0,7799.0
150.40,191.0,7810.0
150.60,178.0,7820.2
150.80,170.0,7829.9
151.00,157.0,7839.0
151.20,147.0,7847.4
151.40,139.0,7855.4
151.60,130.0,7862.8
151.80,127.0,7870.0
152.00,123.0,7876.9
152.20,121.0,7883.7
152.40,120.0,7890.4
152.60,120.0,7897.1
152.80,120.0,7903.7
153.00,120.0,7910.4
153.20,122.0,7917.1
153.40,127.0,7924.0
153.60,130.0,7931.2
153.80,133.0,7938.5
154.00,136.0,7945.9
154.20,139.0,7953.6
154.40,142.0,7961.4
154.60,145.0,7969.4
154.80,149.0,7977.5
155.00,154.0,7985.9
155.20,158.0,7994.6
155.40,164.0,8003.6
155.60,168.0,8012.8
155.80,171.0,8022.2
156.00,169.0,8031.6
156.20,165.0,8040.9
156.40,155.0,8049.8
156.60,142.0,8058.1
156.80,136.0,8065.8
157.00,127.0,8073.1
157.20,123.0,8080.0
157.40,120.0,8086.8
157.60,118.0,8093.4
157.80,118.0,8099.9
158.00,117.0,8106.5
158.20,117.0,8113.0
158.40,117.0,8119.5
158.60,119.0,8126.0
158.80,122.0,8132.7
159.00,128.0,8139.7
159.20,133.0,8146.9
159.40,138.0,8154.4
159.60,144.0,8162.3
159.80,149.0,8170.4
160.00,157.0,8178.9
160.20,162.0,8187.8
160.40,168.0,8196.9
160.60,173.0,8206.4
160.80,178.0,8216.2
161.00,183.0,8226.2
161.20,188.0,8236.5
161.40,193.0,8247.1
161.60,198.0,8257.9
161.80,202.0,8269.1
162.00,207.0,8280.4
162.20,211.0,8292.0
162.40,215.0,8303.9
162.60,220.0,8315.9
162.80,222.0,8328.2
163.00,227.0,8340.7
163.20,232.0,8353.4
163.40,236.0,8366.4
163.60,239.0,8379.6
163.80,241.0,8393.0
164.00,244.0,8406.4
164.20,246.0,8420.1
164.40,250.0,8433.8
164.60,252.0,8447.8
164.80,254.0,8461.8
165.00,257.0,8476.0
165.20,259.0,8490.4
165.40,261.0,8504.8
165.60,264.0,8519.4
165.80,266.0,8534.1
166.00,267.0,8548.9
166.20,268.0,8563.8
166.40,269.0,8578.7
166.60,269.0,8593.6
166.80,269.0,8608.6
167.00,268.0,8623.5
167.20,267.0,8638.4
167.40,267.0,8653.2
167.60,265.0,8668.0
167.80,263.0,8682.6
168.00,257.0,8697.1
168.20,253.0,8711.2
168.40,246.0,8725.1
168.60,235.0,8738.5
168.80,227.0,8751.3
169.00,216.0,8763.6
169.20,205.0,8775.3
169.40,194.0,8786.4
169.60,185.0,8796.9
169.80,178.0,8807.0
170.00,166.0,8816.6
170.20,156.0,8825.5
170.40,147.0,8833.9
170.60,140.0,8841.9
170.80,135.0,8849.5
