t_s,speed_kmh
132.60,160.0
134.40,178.0
134.60,182.0
134.80,183.0
135.20,200.0
135.40,206.0
135.60,210.0
135.80,212.0
136.00,217.0
136.20,222.0
136.60,225.0
136.80,217.0
137.00,207.0
137.60,217.0
139.00,139.0
139.20,132.0
139.60,116.0
140.00,102.0
140.40,92.0
140.60,89.0
140.80,86.0
141.00,79.0
141.20,76.0
141.60,75.0
141.80,76.0
142.00,76.0
142.20,77.0
142.40,79.0
142.60,81.0
142.80,85.0
143.00,90.0
143.40,102.0
143.60,108.0
143.80,113.0
144.00,116.0
144.40,129.0
144.60,136.0
145.40,158.0
145.80,168.0
146.00,175.0
146.20,178.0
146.40,183.0
146.60,188.0
146.80,192.0
147.20,205.0
147.40,210.0
147.60,215.0
147.80,218.0
148.00,223.0
148.20,227.0
148.40,230.0
148.60,232.0
148.80,235.0
149.00,238.0
149.60,235.0
149.80,229.0
150.00,217.0
150.60,178.0
150.80,170.0
151.40,139.0
151.60,130.0
152.00,123.0
152.40,120.0
152.60,120.0
152.80,120.0
153.00,120.0
153.20,122.0
153.60,130.0
153.80,133.0
154.00,136.0
154.20,139.0
154.80,183.0
155.20,158.0
155.60,168.0
156.00,169.0
156.20,165.0
156.40,155.0
156.80,136.0
157.20,123.0
157.40,120.0
158.60,119.0
158.80,122.0
159.00,128.0
159.20,133.0
159.40,138.0
160.20,123.0
160.60,163.0
161.00,183.0
161.20,188.0
161.60,198.0
161.80,202.0
162.00,207.0
162.40,215.0
162.60,220.0
162.80,222.0
163.00,227.0
163.20,223.0
163.60,239.0
164.40,250.0
164.60,252.0
165.00,257.0
165.20,259.0
165.40,261.0
165.60,263.0
165.80,266.0
166.00,267.0
166.20,268.0
166.40,269.0
166.60,269.0
166.80,269.0
167.00,268.0
167.20,267.0
167.40,267.0
167.60,265.0
167.80,263.0
168.00,257.0
168.20,253.0
168.80,283.0
169.20,223.0
169.60,185.0
169.80,183.0
170.80,135.0
171.00,129.0
171.20,123.0
171.80,111.0
172.00,111.0
173.60,153.0
174.00,112.0
174.20,123.0
174.80,183.0
175.20,151.0
