lap_t,speed
18.840,204
18.880,204
18.920,204
18.960,204
19.000,204
19.040,205
19.080,205
19.120,205
19.160,205
19.200,205
19.240,205
19.280,205
19.320,206
19.360,206
19.400,206
19.440,205
19.480,205
19.520,204
19.560,204
19.600,204
19.640,204
19.680,204
19.720,204
19.760,204
19.800,204
19.840,205
19.880,205
19.920,205
19.960,205
20.000,205
20.040,204
20.080,204
20.120,205
20.160,205
20.200,205
20.240,205
20.280,205
20.320,205
20.360,205
20.400,205
20.440,205
20.480,205
20.520,206
20.560,206
20.600,206
20.640,204
20.680,204
20.720,202
20.760,202
20.800,202
20.840,199
20.880,199
20.920,197
20.960,197
21.000,197
21.040,194
21.080,194
21.120,192
21.160,192
21.200,192
21.240,189
21.280,189
21.320,185
21.360,185
21.400,185
21.440,182
21.480,182
21.520,178
21.560,178
21.600,178
21.640,174
21.680,174
21.720,170
21.760,170
21.800,170
21.840,166
21.880,166
21.920,162
21.960,162
22.000,162
22.040,158
22.080,158
22.120,156
22.160,156
22.200,156
22.240,153
22.280,153
22.320,151
22.360,151
22.400,151
22.440,148
22.480,148
22.520,147
22.560,147
22.600,147
22.640,145
22.680,145
22.720,143
22.760,143
22.800,143
22.840,142
22.880,142
22.920,141
22.960,141
23.000,141
23.040,139
23.080,139
23.120,139
23.160,139
23.200,139
23.240,137
23.280,137
23.320,135
23.360,135
23.400,135
23.440,133
23.480,133
23.520,130
23.560,130
23.600,130
23.640,130
23.680,130
23.720,128
23.760,128
23.800,128
23.840,125
23.880,125
23.920,123
23.960,123
24.000,123
24.040,120
24.080,120
24.120,118
24.160,118
24.200,118
24.240,116
24.280,116
24.320,115
24.360,115
24.400,115
24.440,114
24.480,114
24.520,113
24.560,113
24.600,113
24.640,112
24.680,112
24.720,110
24.760,110
24.800,110
24.840,110
24.880,110
24.920,109
24.960,109
25.000,109
25.040,109
25.080,109
25.120,108
25.160,108
25.200,108
25.240,107
25.280,107
25.320,106
25.360,106
25.400,106
25.440,105
25.480,105
25.520,105
25.560,105
25.600,105
25.640,104
25.680,104
25.720,105
25.760,105
25.800,105
25.840,106
25.880,106
25.920,107
25.960,107
26.000,107
26.040,108
26.080,108
26.120,110
26.160,110
26.200,110
26.240,111
26.280,111
26.320,113
26.360,113
26.400,113
26.440,114
26.480,114
26.520,116
26.560,116
26.600,116
26.640,118
26.680,118
26.720,119
26.760,119
26.800,119
26.840,121
26.880,121
26.920,123
26.960,123
27.000,123
27.040,125
27.080,125
27.120,127
27.160,127
27.200,127
27.240,128
27.280,128
27.320,131
27.360,131
27.400,131
27.440,133
27.480,133
27.520,135
27.560,135
27.600,135
27.640,137
27.680,137
27.720,140
27.760,140
27.800,140
27.840,143
27.880,143
27.920,146
27.960,146
28.000,146
28.040,149
28.080,149
28.120,152
28.160,152
28.200,152
28.240,154
28.280,154
28.320,156
28.360,156
28.400,156
28.440,156
28.480,156
28.520,155
28.560,155
28.600,155
28.640,155
28.680,155
28.720,153
28.760,153
28.800,153
28.840,151
28.880,151
28.920,149
28.960,149
29.000,149
29.040,147
29.080,147
29.120,146
29.160,146
29.200,146
29.240,144
29.280,144
29.320,142
29.360,142
29.400,142
29.440,141
29.480,141
29.520,140
29.560,140
29.600,140
29.640,139
29.680,139
29.720,139
29.760,139
29.800,139
29.840,137
29.880,137
29.920,135
29.960,135
30.000,135
30.040,134
30.080,134
30.120,131
30.160,131
30.200,131
30.240,129
30.280,129
30.320,127
30.360,127
30.400,127
30.440,125
30.480,125
30.520,123
30.560,123
30.600,123
30.640,120
30.680,120
30.720,118
30.760,118
30.800,118
30.840,117
30.880,117
30.920,116
30.960,116
31.000,116
31.040,117
31.080,117
31.120,116
31.160,116
31.200,116
31.240,115
31.280,115
31.320,115
31.360,115
31.400,115
31.440,115
31.480,115
31.520,113
31.560,113
31.600,113
31.640,113
31.680,113
31.720,113
31.760,113
31.800,113
31.840,112
31.880,112
31.920,111
31.960,111
32.000,111
32.040,111
32.080,111
32.120,111
32.160,111
32.200,111
32.240,113
32.280,113
32.320,113
32.360,113
32.400,113
32.440,114
32.480,114
32.520,115
32.560,115
32.600,115
32.640,113
32.680,113
32.720,112
32.760,112
32.800,112
32.840,112
32.880,112
32.920,110
32.960,110
33.000,110
33.040,109
33.080,109
33.120,108
33.160,108
33.200,108
33.240,107
33.280,107
33.320,106
33.360,106
33.400,106
33.440,107
33.480,107
33.520,108
33.560,108
33.600,108
33.640,108
33.680,108
33.720,108
33.760,108
33.800,108
33.840,109
33.880,109
33.920,110
33.960,110
34.000,110
34.040,111
34.080,111
34.120,113
34.160,113
34.200,113
34.240,115
34.280,115
34.320,117
34.360,117
34.400,117
34.440,119
34.480,119
34.520,121
34.560,121
34.600,121
34.640,123
34.680,123
34.720,124
34.760,124
34.800,124
34.840,126
34.880,126
34.920,128
34.960,128
35.000,128
35.040,130
35.080,130
35.120,132
35.160,132
35.200,132
35.240,134
35.280,134
35.320,136
35.360,136
35.400,136
35.440,138
35.480,138
35.520,141
35.560,141
35.600,141
35.640,144
35.680,144
35.720,147
35.760,147
35.800,147
35.840,150
35.880,150
35.920,153
35.960,153
36.000,153
36.040,155
36.080,155
36.120,157
36.160,157
36.200,157
36.240,156
36.280,156
36.320,153
36.360,153
36.400,153
36.440,149
36.480,149
36.520,146
36.560,146
36.600,146
36.640,143
36.680,143
36.720,138
36.760,138
36.800,138
36.840,135
36.880,135
36.920,132
36.960,132
37.000,132
37.040,128
37.080,128
37.120,124
37.160,124
37.200,124
37.240,122
37.280,122
37.320,118
37.360,118
37.400,118
37.440,114
37.480,114
37.520,112
37.560,112
37.600,112
37.640,108
37.680,108
37.720,107
37.760,107
37.800,107
37.840,106
37.880,106
37.920,105
37.960,105
38.000,105
38.040,105
38.080,105
38.120,103
38.160,103
38.200,103
38.240,103
38.280,103
38.320,103
38.360,103
38.400,103
38.440,101
38.480,101
38.520,101
38.560,101
38.600,100
38.640,100
38.680,100
38.720,99
38.760,99
38.800,99
38.840,99
38.880,99
38.920,100
38.960,100
39.000,100
39.040,100
39.080,100
39.120,100
39.160,100
39.200,99
39.240,99
39.280,99
39.320,99
39.360,99
