车号,厂商/车队,车型,车手,组别,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,SS9,SS10,SS11,SS12,SS13
285,东利机械乌鲁木齐官方坦克团车队,火炮2.0,周任斌,T2.3,-,3:36:01,5:00:46,-,-,-,-,-,-,-,-,-,-
286,东利机械赛车队,五十铃,苏义刚,T2.3,-,23:00:00,37:15:00,-,-,-,-,-,-,-,-,-,-
287,东利机械赛车队,坦克300,李江,T2.3,-,3:53:33,9:07:24,-,-,-,-,-,-,-,-,-,-
288,荣源赛车,丰田酷路泽,梁杰,T2.3,-,5:05:39,6:20:20,-,-,-,-,-,-,-,-,-,-
289,荣源赛车,牧马人,邵建苗,T2.3,-,4:42:47,6:52:56,-,-,-,-,-,-,-,-,-,-
290,荣源赛车,丰田坦途,吴伟强,T2.3,-,4:19:40,47:45:00,-,-,-,-,-,-,-,-,-,-
291,陕西鑫齐电力赛车俱乐部,V6火炮,张战欣,T2.3,-,5:33:25,7:02:50,-,-,-,-,-,44:45:00,-,-,-,-
292,润之林营地赛车队,风暴,吕和平,T2.3,-,23:00:00,57:30:00,-,-,-,-,-,-,-,-,-,-
293,沙蜥越赛车队,坦克300,张自昌,T2.3,-,4:12:29,5:35:13,-,-,-,4:14:48,-,-,-,-,-,-
295,沙蜥越赛车队,坦克300,程玉茹（女）,T2.3,-,5:18:20,6:28:16,-,-,-,-,-,-,-,-,-,-
296,沙蜥越赛车队,坦克300,韩宝庆,T2.3,-,4:56:23,5:25:12,-,-,-,-,-,-,-,-,-,-
297,沙蜥越赛车队,坦克300,李岩,T2.3,-,6:58:38,8:28:18,-,-,-,-,-,-,-,-,-,-
